Event Name	Display to Ally	Enemy	Observer	Is Important	Chance
AGG	true	false	false	true	100
Ally	true	false	false	false	100
Attack	true	false	false	false	100
Creep	true	false	false	false	100
Done	true	false	false	false	100
EGG	false	true	true	true	100
Expansion	true	false	false	false	100
Goldproblem	true	false	false	true	100
Greet	false	true	true	false	100
Mega	false	true	true	false	100
Megatarget	true	false	false	false	100
Taunt	false	true	true	false	taunt_rate
Thanks	true	false	false	false	100
