Key1	Key2	Key3	Command	Par1	Par2	Par3	Dialog Text1	Hotkey1	Dialog Text2	Hotkey2	Dialog Text3	Hotkey3	Success Message
CHATTER			50	-1	-1	-1	AI Setting	0	Chatter	67	on	0	Turned On/Off Computer Chatter.
DEBUG			51	-1	-1	-1	AI Setting	0	Debug Mode	0	off	0	Turned On/Off Debug Mode.
BALANCE			52	-1	-1	-1	Restrict	0	Balancin Mode	0	off	0	Turned On/Off Balancing Mode.
SHOW	STRATEGY		60	-1	-1	-1	Show	87	Current Strategy	67		0	Showing current strategy.
SHOW	STRATNAMES		61	-1	-1	-1	Show	87	Strategy names	83		0	Showing all strategy names.
CHANGE	STRATEGY		70	-4	-1	-1	Change Strategy	72	s	0		0	Changes current strategy.
CANCEL	ALL		0	-1	-1	-1	Cancel Orders	67	All Orders	79		0	I have Canceled All commands you have given me so far.
CANCEL	ATTACK		2	-1	-1	-1	Cancel Orders	67	Attack Orders	65		0	I have Canceled all Attack commands you have given me so far.
CANCEL	BUILD		1	-1	-1	-1	Cancel Orders	67	Build Orders	66		0	I have Canceled all Build commands you have given me so far.
CANCEL	QUEUE		30	-1	-1	-1	Cancel Orders	67	Queue	81		0	I have Canceled all Queued commands you have given me so far.
CANCEL	QUE		30	-1	-1	-1		0		0		0	I have Canceled all Queued commands you have given me so far.
STOP			10	-1	-1	-1	Stop	83		0		0	I will Stop any current Attack.
NO	ATTACKS		11	-1	-1	-1	Restrict	82	No Attacks	65		0	I will not Attack Anything.
NO	CREEP		14	-1	-1	-1	Restrict	82	No Creep Attacks	67		0	I will not Attack Creeps.
NO	PLAYERS		15	-1	-1	-1	Restrict	82	No Enemy Attacks	69		0	I will not Attack Enemies.
BUILD	A2A		20	-4	-1	-1	Build	66	Air vs. Air	65	#	0	I will build Air2Air units now.
BUILD	A2G		21	-4	-1	-1	Build	66	Air vs. Ground	73	#	0	I will build Air2Ground units now.
BUILD	G2A		22	-4	-1	-1	Build	66	Ground vs. Air	82	#	0	I will build Ground2Air units now.
BUILD	G2G		23	-4	-1	-1	Build	66	Ground vs. Ground	71	#	0	I will build Ground2Ground units now.
BUILD	FARMS		24	-4	-1	-1	Build	66	Farms	70	#	0	I will build farms now.
BUILD	TOWERS		25	-4	-1	-1	Build	66	Towers	84	#	0	I will build towers now.
ATTACK	HERE		13	0	-30	-31	Attack/Guard	65	Current screen	67		0	I will Attack/Guard the location of current screen position.
ATTACK	SELECT		16	-40	-1	-1	Attack/Guard	65	Selected unit	83		0	I will Attack/Guard the currently selected unit.
ATTACK	TOWERRUSH		17	-1	-1	-1	Attack/Guard	65	Towerrush	84		0	I will prepare to execute command towerrush.
ATTACK			12	-103	-1	-1	Attack/Guard	65	Enemy	69	e	0	I will Attack/Guard the specified player.
	START		33	-1	-1	-1	Queue	81	Start/Restart	83		0	I have Started or Restarted your Queued commands.
	RESTART		33	-1	-1	-1		0		0		0	I have Started or Restarted your Queued commands.
	PAUSE		34	-1	-1	-1	Queue	81	Pause	80		0	I have Paused your Queued commands.
	UNPAUSE		35	-1	-1	-1	Queue	81	Unpause	78		0	I have Unpaused your Queued commands.
	UNDO		36	-1	-1	-1	Queue	81	Undo	85		0	I have Removed your last Queued command.
	ATTACK	HERE	31	-1	-30	-31	Queue	81	Attack Here	65		0	I have Queued the Attack/Guard location of current screen position.
	ATTACK	SELECT	32	-40	-1	-1	Queue	81	Attack Select	84		0	I have Queued the currently selected unit to Attack/Guard.
NO	STRATCHANGE		53	-1	-1	-1	Restrict	82	No Strategy Change	83	on	0	Turned On/Off Automatic Strategy Change.
