Job id	Frequency	Function call	Condition for initial start time	Initial Start time minimum	Initial Start time maximum
BUY_NEUTRAL	10	BuyNeutral(par)	false	0	0
BUY_NEUTRAL_HERO	10	BuyNeutralHero(par)	false	0	0
TIMED_CHAT	2	Chat(par)	false	0	0
CHAT_QUEUE	30	FireChat()	true	3	5
EXCHANGE	5	ExchangeJob()	force_number > 1	75	90
UPDATE_STRENGTH	10	UpdateStrengthJob()	true	50	65
REVEAL_ENEMY	1	RevealEnemy()	true	120	135
DETECT_DEFEAT	10	DetectDefeatJob()	true	90	110
DETECT_DOUBLE_EXP	10	DetectDoubleExpJob()	true	100	120
ZEPPELIN_FOLLOW	20	ZeppelinFollowJob()	true	80	100
NEUTRAL_GUARDED	8	NeutralGuardedJob(par)	false	0	0
REPAIR_CONTROL	15	RepairControlJob()	true	0	10
HARVEST_CHECK	10	HarvestCheckJob()	race_manual_loading or ( not race_manual_loading and not race_uses_mine_expansion and first_town_mine == 3) or (race_uses_mine_expansion and first_town_mine != 0)	200 - Min(first_town_mine,1) * 198	220 - Min(first_town_mine,1) * 208
RETREAT_CONTROL	100	RetreatControlJob()	false	0	0
CLEANUP_BLOCKS	4	CleanupBlocksJob()	true	60	70
RESET_GUARD_POSITION	20	ResetGuardPositionJob(unit_par)	false	0	0
RESET_GUARD_POSITION_ONLY	20	ResetGuardPositionOnlyJob(unit_par)	false	0	0
RESET_HEALTH	15	ResetByHealthJob(unit_par, par)	false	0	0
BUY_ITEM	20	BuyItemJob(par)	false	0	0
HEALTH_FOUNTAIN	20	HealthFountainJob(unit_par, par)	false	0	0
MANA_FOUNTAIN	20	ManaFountainJob(unit_par, par)	false	0	0
MICRO_HERO	50	MicroHeroJob(par)	false	0	0
MICRO_UNITS	10	MicroUnitsJob()	true	10	20
ZEPPELIN_MOVE	15	ZeppelinMoveJob(par, unit_par, group_par)	false	0	0
TELEPORT	15	TeleportJob(unit_par)	false	0	0
HARASS	25	HarassJob(par, unit_par, group_par)	false	0	0
STRUCTURE_CONTROL	5	StructureControlJob()	true	20	30
NEUTRAL_ENEMY_CHECK	20	NeutralEnemyCheckJob(par)	false	0	0
ARMY_TRACK	30	ArmyTrackJob()	false	50	60
TOWN_TRACK	15	TownTrackJob()	true	50	60
MILITIA_CHECK	10	MilitiaCheckJob()	race_militia_available	80	90
TOWER_RUSH	10	TowerRushJob()	false	0	0
TOWER_RUSH_CHECK	30	TowerRushCheck(par)	false	0	10
ANCIENT_EXPANSION	6	AncientExpansionJob()	false	0	0
ANCIENT_EXPANSION_CHECK	30	AncientExpansionCheck()	race_ancient_expansion_available	10	20
CHAT_VARS	15	ChatVarsJob()	true	1	2
SELL_ZIGGURATS	4	SellZigguratJob()	race_sell_ziggurats	300	400
FOCUSFIRE_CONTROL	10	FocusFireJob()	true	40	60
MOON_WELL_CONTROL	20	MoonWellJob(unit_par, par)	false	0	0
FAST_BUILD	10	FastBuild()	race_has_power_build	10	20
MILITIA_EXPAND	10	TryMilitiaExpansionFoot()	race_militia_expansion_available	40	50
SEND_HOME	20	SendUnitHomeJob(unit_par, par)	false	0	0
RESET_WINDWALKER	9	ResetWindWalkerGuardPosition(unit_par)	false	0	0
BUILD_EXPANSION	10	BuildExpansionJob(unit_par)	false	0	0
ITEM_EXPANSION	20	ItemExpansionJob()	false	0	0
ITEM_EXPANSION_CHECK	30	ItemExpansionCheck()	race_item_expansion_available	60	80
ITEM_REPEAT_CHECK	160	ItemRepeatCheck()	true	200	220
