To be translated	Translation
AI Setting	AI设置
Chatter	AI聊天开关
Debug Mode	调试模式开关
Balancin Mode	平衡模式开关
Language	更换AI聊天语言
Chinese	简体中文
Language is now Chinese.	聊天语言变更为简体中文。
Turned On/Off Computer Chatter.	AI 聊天切换完毕，当前状态：
Turned On/Off Debug Mode.	调试模式切换完成，当前状态：
Turned On/Off Balancing Mode.	平衡模式切换完成，当前状态：
Show	战术汇报
Current Strategy	当前战术
Showing current strategy.	汇报当前战术
Showing all strategy names.	汇报所有战术名称
Strategy names	战术名称
Change Strategy	更换战术
Changes current strategy.	改变战术。
Cancel Orders	取消指令
Stop	停止进攻
All Orders	全部指令
I have Canceled All commands you have given me so far.	我已取消你下达的全部指令。
I do not know that command.	我不能识别这条指令。
You have not specified a valid player.	你指定的玩家无效。
You have not specified a computer.	你指定的AI玩家无效。
Attack/Guard	攻击/防守
ATTACK	攻击
Starting Commander Thread Loop	启动指令循环程序
Receiving command	正在接收指令
Attack Orders	攻击指令
I have Canceled all Attack commands you have given me so far.	我已取消你下达的全部攻击指令。
Build Orders	建造指令
I have Canceled all Build commands you have given me so far.	我已取消你下达的全部建造指令。
Queue	指令队列
I have Canceled all Queued commands you have given me so far.	我已取消你下达的全部指令队列。
I will Stop any current Attack.	我将停止进攻。
I will not Attack Anything.	我将不发起任何攻击。
I will not Attack Creeps.	我将不攻击野怪。
I will not Attack Enemies.	我将不攻击敌人。
I will build Air2Air units now.	我将训练空对空兵种。
I will build Air2Ground units now.	我将训练空对地兵种。
I will build Ground2Air units now.	我将训练地对空兵种。
I will build Ground2Ground units now.	我将训练地对地兵种。
I will build farms now.	我将造人口建筑。
I will build towers now.	我将造防御塔。
I will Attack/Guard the location of current screen position.	我将攻击/防守选定位置。
I will Attack/Guard the currently selected unit.	我将攻击/防守选定单位。
I will Attack/Guard the specified player.	我将攻击/防守选定玩家。
I will prepare to execute command towerrush.	准备 towerrush。
I have Started or Restarted your Queued commands.	我已开始或重启你下达的指令队列。
I have Paused your Queued commands.	我已暂停执行你下达的指令队列。
I have Unpaused your Queued commands.	我已恢复执行你下达的指令队列。
I have Removed your last Queued command.	我已取消你最后下达的指令。
I have Queued the Attack/Guard location of current screen position.	我已将进攻/防守选定地点加入了指令队列。
I have Queued the currently selected unit to Attack/Guard.	我已将进攻/防守选定单位加入了指令队列。
Turned On/Off Automatic Strategy Change.	战术自适应切换完成，当前状态：
Restrict	进攻与战术自适应控制
No Attacks	不再进攻
No Creep Attacks	不攻击野怪
No Enemy Attacks	不攻击敌人
Farms	人口建筑
Towers	防御塔
Current screen	当前地点
Selected unit	选中单位
Towerrush	TR最近的敌方基地
Enemy	选择玩家
Start/Restart	开始/重启指令队列
No Strategy Change	战术自适应开关
Build	建造
Attack Here	添加攻击当前地点指令到队列
Pause	暂停指令队列
Unpause	恢复指令队列
Undo	取消指令队列
attack select	添加攻击选择单位指令到队列
Air vs. Air	空对空兵种
Air vs. Ground	空对地兵种
Ground vs. Air	地对空兵种
Ground vs. Ground	地对地兵种
