To be translated	Translation
HUMAN	人族
ORC	兽族
ELF	暗夜
UNDEAD	亡灵
Red	红色
Blue	蓝色
Cyan	蓝绿色
Purple	紫色
Yellow	黄色
Orange	橙色
Green	绿色
Pink	粉色
Light Gray	亮灰色
Light Blue	亮蓝色
Aqua	浅绿色
Brown	褐色
Maroon	粟色
Navy	海军蓝
Turquoise	青绿色
Violet	紫罗兰色
Wheat	小麦色
Peach	桃红色
Mint	薄荷色
Lavender	薰衣草色
Coal	碳色
Snow	雪白
Emerald	祖母绿
Peanut	花生色
HUMAN:S	人族
ORC:S	兽族
ELF:S	暗夜
UNDEAD:S	亡灵
Red:S	红色
Blue:S	蓝色
Purple:S	紫色
Yellow:S	黄色
Orange:S	橙色
Green:S	绿色
Pink:S	粉色
Light Gray:S	亮灰色
Light Blue:S	亮蓝色
Aqua:S	浅绿色	
Brown:S	褐色
Maroon:S	粟色
Navy:S	海军蓝
Turquoise:S	青绿色
Violet:S	紫罗兰色
Wheat:S	小麦色
Peach:S	桃红色
Mint:S	薄荷色
Lavender:S	薰衣草色
Coal:S	碳色
Snow:S	雪白
Emerald:S	祖母绿
Peanut:S	花生色
