chat_no_unit_selected	Keine Einheit ausgewahlt
chat_confirm_attack_unit	Ich werde die gewahlte Einheit angreifen/verteidigen
chat_towerrush	Ich werde versuchen, jemanden zu TR
chat_no_towerrush	Ich kann nicht TR
chat_stop_towerrush	Ich habe Laden TR
chat_unsuited_towerrush	Nicht jetzt TR
militia_expansion_chat	Ich mache hier jetzt eine Milizenexpansion
invalid_strategy_number	Ungultige Strategienummer
chat_dynamic_counter	und den Feinden entgegenwirken 
Strategy_Char_air	Lufteinheit
Strategy_Char_casters	Rolleneinheit
Strategy_Char_towers	Turme
Strategy_Char_piercing	durchdringende Angriffseinheit
Strategy_Char_normal	normale Angriffseinheit
Strategy_Char_siege	Belagerungsangriffseinheit
Strategy_Char_magic	magische Angriffseinheit
Strategy_Char_unarmored	ungepanzerte Einheit
Strategy_Char_lightarmor	leichte Rustungseinheit
Strategy_Char_mediumarmor	mittlere Rustungseinheit
Strategy_Char_heavyarmor	schwere Rustungseinheit
