To be translated	Translation
AI Setting	AI Einstellungen
Chatter	Chatten
Turned On/Off Computer Chatter.	Computer Chatten wurde an/ausgeschaltet.
Turned On/Off Debug Mode.	Debug Modus wurde an/ausgeschaltet.
Turned On/Off Balancing Mode.	Balance Modus wurde an/ausgeschaltet.
Show	Zeige
Current Strategy	Momentane Strategie
Showing current strategy.	Ich zeige momentane Strategie an.
Strategy names	Strategienamen
Change Strategy	veranderung Strategie
Changes current strategy.	Ich veranderung die momentane Strategie.
Cancel Orders	Befehle abbrechen
All Orders	Alle Befehle
I have Canceled All commands you have given me so far.	Ich habe alle Befehle abbrechen, die du mir bis jetzt gegeben hast.
Attack Orders	Angriffsbefehle
Attack/Guard	an/verteidige
ATTACK	Angriff
I have Canceled all Attack commands you have given me so far.	Ich habe alle Angriffsbefehle abbrechen, die du mir bis jetzt gegeben hast.
Build Orders	Baubefehle
I have Canceled all Build commands you have given me so far.	Ich habe alle Baubefehle abbrechen, die du mir bis jetzt gegeben hast.
Queue	Queuebefehle
I have Canceled all Queued commands you have given me so far.	Ich habe alle Queuebefehle abbrechen, die du mir bis jetzt gegeben hast.
I will Stop any current Attack.	Ich breche den momentanen Angriff ab.
I will not Attack Anything.	Ich greife nichts an.
I will not Attack Creeps.	Ich greife keine Creeps an.
I will not Attack Enemies.	Ich greife keine Feinde an.
I will build Air2Air units now.	Ich baue Luft-Luft-Einheiten.
I will build Air2Ground units now.	Ich baue Luft-Boden-Einheiten.
I will build Ground2Air units now.	Ich baue Boden-Luft-Einheiten.
I will build Ground2Ground units now.	Ich baue Boden-Boden-Einheiten.
I will build farms now.	Ich baue Farmen.
I will build towers now.	Ich baue Turme.
I will Attack/Guard the location of current screen position.	Ich greife an/verteidige die momentane Bildschirmposition.
I will Attack/Guard the currently selected unit.	Ich greife an/verteidige die Gewalte Einheit.
I will Attack/Guard the specified player.	Ich greife an/verteidige den Gewalte Spieler.
I have Started or Restarted your Queued commands.	Ich habe die Befehlsqueue gestartet / erneut gestartet.
I have Paused your Queued commands.	Ich habe die Befehlsqueue angehalten.
I have Unpaused your Queued commands.	Ich habe die Befehlsqueue weiterlaufen lassen.
I have Removed your last Queued command.	Ich habe den letzten Befehl in der Befehlsqueue entfernt.
I have Queued the Attack/Guard location of current screen position.	Ich habe den Angriff/die Verteidigung der momentanen Bildschirmposition in die Queue hinzugefut.
I have Queued the currently selected unit to Attack/Guard.	Ich habe den Angriff/die Verteidigung der Gewalte Einheit in die Queue hinzugefut.
Turned On/Off Automatic Strategy Change.	Ich habe den automatischen Strategiewechsel an/ausgeschaltet.
Restrict	Beschranken
No Attacks	Kein Angriff
No Creep Attacks	Keine Creepangriffe
No Enemy Attacks	Keine Feindangriffe
Farms	Farmen
Towers	Turme
Current screen	Bildschirmposition
Selected unit	Gewalte Einheit
Towerrush	Towerrush
Start/Restart	Start / Neustart
No Strategy Change	Kein Strategiewechsel
Build	Bauen
Attack Here	Bildschirmposition angreifen
Unpause	Ende Pause
Undo	Ruckgangig machen
Attack select	Gewalte Einheit angreifen
Air vs. Air	Luft-Luft
Air vs. Ground	Luft-Boden
Ground vs. Air	Boden-Luft
Ground vs. Ground	Boden-Boden
