Strategy Name in AI	Translated Strategy Name	Translated Strategy Report
ROCNormalElf	Normal	Ich spiele normal und baue von Allem etwas
ROCMassHD	Jaerinnen und Dryaden	Ich baue massiv Jaerinnen mit ein paar Dryaden
ROCDruids	Dryaden und Bachen	Ich baue Dryaden and Bachen
ROCHippo	Hipporeiterinnen	Ich baue Hipporeiterinnen
ROCBallista	Ballistas	Ich baue Ballistas and Dryaden
ROCTalon	Klauendruiden	Ich baue massiv Klauendruiden
ROCHippoChim	HippoChi	Ich baue Hippos and Schimaen
ROCDryadChim	DryadChim	Ich baue Dryaden and Schimaen
ROCArcher	Bogenschuzen	Ich baue massiv Bogenschuzen
ROCDotC	Baen	Ich baue massiv Baen
NormalElf	Normal	Ich spiele normal und baue von Allem etwas
MassHD	Jaerinnen und Dryaden	Ich baue massiv Jaerinnen mit ein paar Dryaden
Druids	Dryaden und Baen	Ich baue Dryaden and Baen
Hippo	Hipporeiterinnen	Ich baue Hipporeiterinnen
Ballista	Ballistas	Ich baue Ballistas and Dryaden
Talon	Klauendruiden	Ich baue massiv Klauendruiden
HippoChim	HippoChi	Ich baue Hippos and Schimaen
DryadChim	DryadChim	Ich baue Dryaden and Schimaen
NEAntiTower	Anti Tower	I'm massing seige equipment
Archer	Bogenschuzen	Ich baue massiv Bogenschuzen
DotC	Bachen	Ich baue massiv Bachen
MassHuntress	Jaerinnen	Ich baue massiv Jaerinnen
MGDryads	Dryaden und Bergriesen	Ich baue Dryaden und Bergriesen
AoWMix	Einheitenmix aus AoW	Ich mixe Einheiten aus dem AoW
AoLMix	Einheitenmix aus AoL	Ich mixe Einheiten aus dem AoL
ROCNormalHuman	Normal	Ich spiele normal und baue von Allem etwas
ROCMassSp	Zauberer	Ich baue massiv Zauberer
ROCGryph	Greifen	Ich baue Greifenreiter
ROCKnight	Ritter	Ich baue massiv Soldaten und Ritter
ROCRifle	Schuzen	Ich baue massiv Schuzen
ROCMortars	Moser-Truppen	Ich baue Moser-Truppen
ROCCopters	Gyrokopter	Ich baue Gyrokopter
NormalHuman	Normal	Ich spiele normal und baue von Allem etwas
MassSp	Zauberer	Ich baue massiv Zauberer
Gryph	Greifen	Ich baue Greifenreiter
Knight	Ritter	Ich baue massiv Soldaten und Ritter
Rifle	Schuzen	Ich baue massiv Schuzen
Mortars	Moser-Truppen	Ich baue Moser-Truppen
Copters	Gyrokopter	Ich baue Gyrokopter
MassSB	Zauberbrecher	Ich baue massiv Zauberbrecher
Dragonhawk	Drachenfalkenreiter	Ich baue massiv Drachenfalkenreiter
HBarrackMix	Einheitenmix aus Kaserne	Ich mixe Einheiten aus der Kaserne
SanctumMix	Einheitenmix aus Sanktum	Ich mixe Einheiten aus dem Sanktum
HAntiTower	Anti Tower	Ich baue massiv Belagerungswaffen
VersusOrc	Zauberinnen	Ich baue massiv Zauberinnen
ROCNormalOrc	Normal	Ich baue Grunzer und Zauberer
ROCFastSh	Schamanen und Tauren	Ich baue Schamanen und Tauren
ROCKodo	Kodo	Ich baue massiv Kodo-Bestien
ROCWyvSh	Schamanen und Wyverns	Ich baue Schamanen und Wyverns
ROCHHunters	Kopfjaer	Ich baue massiv Kopfjaer
ROCRaiders	Raiber	Ich baue massiv Raiber
ROCCatapults	Katapulte	Ich baue Grunzer und Katapulte
ROCHeadCatapults	Kopfjaer und Katapulte	Ich baue Kopfjaer und Katapulte
NormalOrc	Normal	Ich baue Grunzer und Zauberer
FastSh	Schamanen und Tauren	Ich baue Schamanen und Tauren
WyvSh	Schamanen und Wyverns	Ich baue Schamanen und Wyverns
HHunters	Kopfjaer	Ich baue massiv Kopfjaer
Raiders	Raiber	Ich baue massiv Raiber
GruntCatapults	Grunzer und Katapulte	Ich baue Grunzer und Katapulte
HeadCatapults	Kopfjaer und Katapulte	Ich baue Kopfjaer und Katapulte
Wyvern	Windreiter	Ich baue massiv Windreiter
OBarrackMix	Einheitenmix aus Kaserne	Ich mixe Einheiten aus der Kaserne
BestiaryMix	Einheitenmix aus Bestiarium	Ich mixe Einheiten aus dem Bestiarium
AntiPierce	Nahkampf	Ich baue Nahkampfeinheiten und Raiber
AntiAir	Fledermausreiter	Ich baue massiv Fledermausreiter
OAntiTower	Anti Tower	Ich baue massiv Belagerungswaffen
VersusHuman	Raiber und Geistlaifer	Ich baue Raiber und Geisterlaifer
VersusUndead	Grunzer und Bestiarium	Ich baue Grunzer und mixe Einheiten aus dem Bestiarium
VersusElf	Raiber und Verwuter	Ich baue Raiber und Verwuter
ROCNormalUndead	Normal	Ich spiele normal und baue von Allem etwas
ROCWyrms	Wyrms	Ich versuche einen Wyrmrush mit ein paar Gruftbestien
ROCBanshee	Banshees	Ich werde meistens Banshees gehen
ROCNecro	Totenbeschwoer	Ich baue Totenbeschwoer
ROCGhouls	Ghoule	Ich baue massiv Ghoule
ROCFiends	Gruftbestien	Ich baue massiv Gruftbestien
ROCGargWyrm	Gargoyles and Wyrms	Ich baue Gargoyles and Wyrms
ROCAboms	Monstrositaten	Ich baue massiv Monstrositaten
ROCMeatFiends	Fleischwagen und Gruftbestien	Ich baue Gruftbestien und Fleischwagen
MassDestroyer	Zerstoer	Ich baue massiv Zerstoer
NormalUndead	Normal	Ich spiele normal und baue von Allem etwas
Wyrms	Wyrms	Ich versuche einen Wyrmrush mit ein paar Gruftbestien
Banshee	Banshees	Ich werde meistens Banshees gehen
Necro	Totenbeschwoer	Ich baue Totenbeschwoer
Ghouls	Ghoule	Ich baue massiv Ghoule
GargGhouls	Gargoyles and Ghoule	Ich baue Gargoyles and Ghoule
Fiends	Gruftbestien	Ich baue massiv Gruftbestien
