chat_no_unit_selected	No unit selected
chat_confirm_attack_unit	I will attack/guard the selected [TargetColor] [TargetRace] unit
chat_towerrush	I will try to towerrush someone
chat_no_towerrush	I cannot towerrush at the moment
chat_shop_towerrush	I have shop towerrush
chat_unsuited_towerrush	Not right now towerrush
militia_expansion_chat	I'm going for militia expansion over here
invalid_strategy_number	Invalid strategy number
chat_dynamic_counter	and countering the enemies 
Strategy_Char_air	air unit
Strategy_Char_casters	casters unit
Strategy_Char_towers	towers
Strategy_Char_piercing	piercing attack unit
Strategy_Char_normal	normal attack unit
Strategy_Char_siege	siege attack unit
Strategy_Char_magic	magic attack unit
Strategy_Char_unarmored	unarmored unit
Strategy_Char_lightarmor	lightarmor unit
Strategy_Char_mediumarmor	mediumarmor unit
Strategy_Char_heavyarmor	heavyarmor unit
