To be Translated	Translation
chat_no_ally	I will never obey you.
dlghdr_choose_ally	Choose Ally
dlghdr_choose_number	Choose Number
dlghdr_choose_player	Choose Player
dlghdr_game_type	Choose Game Type
dlghdr_root	Choose Command
dlghdr_tribute_type	Choose Tribute Type
dlghdr_tribute_amount	Choose Tribute Amount
dlgbutton_cancel	Cancel
dlgbutton_all	All
dlgbutton_gold	Gold
dlgbutton_lumber	Lumber
dlgbutton_give_gold	Give Gold
dlgbutton_give_lumber	Give Lumber
dlgbutton_tribute	Tribute
dlgbutton_commander	Commander
dlgbutton_no_human	Computers only
dlgbutton_ai_only	No Commander
