Strategy Name in AI	Translated Strategy Name	Translated Strategy Report
ROCNormalElf	Normal	I will play normal and build a little bit of everything
ROCMassHD	Hunts and Dryads	I'm going massive huntresses with a few dryads
ROCDruids	Dryads and DotC	I will build dryads and DotC
ROCHippo	Hippo Riders	I'll build hippo riders in mass
ROCBallista	Ballista	I'll do glaive throwers and dryads
ROCTalon	Talon	I gonna make tons of DotT
ROCHippoChim	HippoChim	I'll make hippos and chimaeras
ROCDryadChim	DryadChim	Going dryads and chimaeras
ROCArcher	Archers	Gonna amass archers
ROCDotC	Bears	Trying mass DotC
NormalElf	Normal	I will play normal and build a little bit of everything
MassHD	Hunts and Dryads	I'm going massive huntresses with a few dryads
Druids	Dryads and DotC	I will build dryads and DotC
Hippo	Hippo Riders	I'll build hippo riders in mass
Ballista	Ballista	I'll do glaive throwers and dryads
Talon	Talon	I'm going massive DOtT
HippoChim	HippoChim	I'll make hippos and chimaeras
DryadChim	DryadChim	Going dryads and chimaeras
Archer	Archers	I'm massing archers
DotC	Bears	Trying mass DotC
MassHuntress	Mass Hunts	I'm going massive Huntresses
MGDryads	Dryads and MGs	I'm going dryads and mountain giants
AoWMix	AoW Mix	I'm mixing units from the AoW
AolMix	AoL Mix	I'm mixing units from the Ancient of Lore
NEAntiTower	Anti Tower	I'm massing seige equipment
ROCNormalHuman	Normal	I'll play normal and build a little bit of everything
ROCMassSp	Casters	I'm going massive spell casters
ROCGryph	Gryphon	I will build gryphon riders
ROCKnight	Knights	I'll build footmen and knights in mass
ROCRifle	Rifle	I'm gonna make riflemen
ROCMortars	Mortars	I'm going mortars
ROCCopters	Copters	I do mass flying machines
NormalHuman	Normal	I'll play normal and build a little bit of everything
MassSp	Casters	I'm going massive spell casters
Gryph	Gryphon	I will build gryphon riders
Knight	Knights	I'll going massive footman and knights
Rifle	Rifle	I'm going massive riflemen and priests
Mortars	Mortars	I'm going mortars and riflemen
Copters	Copters	I'm going flying machines
MassSB	SpellBreakers	I'm going massive spell breakers
Dragonhawk	Dragon Hawks	I'm going dragon hawks
BarrackMix	Barrack Mix	I'm trying to mix units from barrack and workshop
SanctumMix	Sanctum Mix	I'm trying to mix units from sanctum and aviary
HAntiTower	Anti Tower	I'm massing seige equipment
VersusOrc	Mass Sorceress	I'm massing Sorceress
ROCNormalOrc	Normal	I'm going to play normal and build a little bit of everything
ROCFastSh	Shamans and Taurens	I will make casters and taurens
ROCKodo	Kodo	I'm gonna go massive kodo-beasts
ROCWyvSh	Shamans and Wyverns	Going Shamans and Wyverns
ROCHHunters	Head Hunters	Trying massive head hunters
ROCRaiders	Raiders	I'm make massive raiders
ROCCatapults	Grunts and Catapults	I'm going to do grunts and demolishers
ROCHeadCatapults	Head hunters and Catapults	Let's try headhunters and demolishers
NormalOrc	Normal	I'm going grunts and casters
FastSh	Shamans and Taurens	I will make casters and taurens
WyvSh	Shamans and Wyverns	Going Shamans and Wyverns
HHunters	Head Hunters	Trying massive head hunters
Raiders	Raiders	I'm going massive raiders
GruntCatapults	Grunts and Catapults	I'm going to do grunts and demolishers
HeadCatapults	Head hunters and Catapults	Let's try headhunters and demolishers
Wyvern	Mass Wyvern	I'm going massive wyverns
BarrackMix	Barrack Mix	I'm mixing units from barrack.
BestiaryMix	Bestiary Mix	I'm mixing units from bestiary
AntiPierce	Anti Pierce	I'm going melee units and raiders
AntiAir	Batriders	I'm a massing batriders
OAntiTower	Anti Tower	I'm massing seige equipment
VersusHuman	Raiders and Spirtwalkers	I'm going raiders and spirit walkers
VersusUndead	Grunts and Beastiary	I'm going Grunts and a mix from the beastiary
VersusElf	Raiders and Demolishers	I'm going raiders and Demolishers
ROCNormalUndead	Normal	I will play normal and build a little bit of everything
ROCWyrms	Wyrms	Going wyrms and a few crypt fiends
ROCBanshee	Banshees	I'll go mostly banshees
ROCNecro	Necros	Trying necromancers
ROCGhouls	Ghouls	I will build mass ghouls
ROCFiends	Fiends	I'm gonna go mass crypt fiends
ROCGargWyrm	Gargoyles and Wyrms	I'll do gargs and wyrms
ROCAboms	Aboms	I'm going massive abominations
ROCMeatFiends	Meat wagons and Fiends	I'll try going fiends and meat wagons
NormalUndead	Normal	I will play normal and build a little bit of everything
Wyrms	Wyrms	Going wyrms and a few crypt fiends
Banshee	Banshees	I'll go mostly banshees
Necro	Necros	Trying necromancers
Ghouls	Ghouls	I will build mass ghouls
Fiends	Fiends	I'm gonna go mass crypt fiends
GargWyrm	Gargoyles and Wyrms	I'll do gargs and wyrms
Aboms	Aboms	I'm going massive abominations
MeatFiends	Meat wagons and Fiends	I'll try going fiends and meat wagons
MassDestroyer	Mass Destroyers	I'm going massive destroyers
CryptMix	Crypt Mix	I'm trying to mix units from crypt and slaughterhouse
TempleMix	Temple Mix	I'm mixing units from temple of the damned and slaughterhouse
UAntiTower	Anti Tower	I'm massing seige equipment
airair	Air-Air	I'll build Air to Air units
airground	Air-Ground	I'll build Air to Ground units
groundair	Ground-Air	I'll build Ground to Air units
groundground	Ground-Ground	I'll build Ground to Ground units
farm	Farms	I'll build farms
guard	Towers	I'll build towers
