chat_no_unit_selected	Pas d'unite selectionnee.
chat_confirm_attack_unit	Je vais attaquer/garder l'unite selectionnee.
chat_towerrush	Je vais essayer de TR quelqu'un
chat_no_towerrush	je ne peux pas TR
chat_stop_towerrush	j'ai une boutique TR
chat_unsuited_towerrush	Pas tout de suite TR
militia_expansion_chat	Je vais faire des expansions militaires ici
invalid_strategy_number	Numero de strategie non valide
chat_dynamic_counter	et contrer les ennemis 
Strategy_Char_air	unite aerienne
Strategy_Char_casters	unite de roulettes
Strategy_Char_towers	tours
Strategy_Char_piercing	unite d'attaque percante
Strategy_Char_normal	unite d'attaque normale
Strategy_Char_siege	unite d'attaque de siege
Strategy_Char_magic	unite d'attaque magique
Strategy_Char_unarmored	unite non blindee
Strategy_Char_lightarmor	unite d'armure legere
Strategy_Char_mediumarmor	unite de blindage moyen
Strategy_Char_heavyarmor	unite d'armure lourde
