To be translated	Translation
AI Setting	Configuration de l'IA
Chatter	Discussion
Turned On/Off Computer Chatter.	Permettre/Proscrire la discussion avec l'ordinateur.
Turned On/Off Debug Mode.	Permettre/Proscrire le mode debogger .
Turned On/Off Balancing Mode.	Permettre/proscire le mode d'équilibrage.
Show	Montrer
Current Strategy	Strategie actuelle
Showing current strategy.	Montrer la strategie actuelle.
Strategy names	Noms des strategies
Change Strategy	Changer la strategie
Changes current strategy.	Changer la strategie actuelle.
Cancel Orders	Annuler les ordres
All Orders	tous les ordres
I have Canceled All commands you have given me so far.	J'ai annule tous les ordres que tu m'as donne auparavant.
Attack Orders	Les ordres d'attaques
I have Canceled all Attack commands you have given me so far.	J'ai annule tous les ordres d'attaque que tu m'as donne auparavant.
Build Orders	les ordres de construction
I have Canceled all Build commands you have given me so far.	J'ai annule tous les ordres de construction que tu m'as donne auparavant.
Queue	file d'attente
I have Canceled all Queued commands you have given me so far.	J'ai annule tous les ordres dans la file d'attente que tu m'as donne auparavant.
I will Stop any current Attack.	Je vais annuler toutes attaques actuelles.
I will not Attack Anything.	Je vais attaqer personne.
I will not Attack Creeps.	Je ne vais pas attquer de creep.
I will not Attack Enemies.	Je ne vais pas attaquer d'ennemis.
I will build Air2Air units now.	Je vais creer des unites air/air maintenant.
I will build Air2Ground units now.	Je vais creer des unites air/sol maintenant.
I will build Ground2Air units now.	Je vais creer des unites sol/air maintenant.
I will build Ground2Ground units now.	Je vais creer des unites sol/sol maintenant.
I will build farms now.	Je vais creer des fermes maintenant.
I will build towers now.	Je vais creer des tourelles maintenant.
I will Attack/Guard the location of current screen position.	Je vais attaquer/garder a la position actuelle de l'ecran.
I will Attack/Guard the currently selected unit.	Je vais attaquer/garder cette unite selectionnee actuellement.	
I will Attack/Guard the specified player.	Je vais attaquer/garder ce joueur specifique.
I have Started or Restarted your Queued commands.	J'ai commence ou recommence tes ordres dans la file d'attente.
I have Paused your Queued commands.	J'ai mis en veille vos ordres dans la file d'attente.
I have Unpaused your Queued commands.	J'ai repris vos ordres dans la file d'attente.
I have Removed your last Queued command.	J'ai supprime vos derniers ordres dans la file d'attente.
I have Queued the Attack/Guard location of current screen position.	J'ai mis dans la file d'attente l'attaque/la protection du lieu de l'ecran actuel.
I have Queued the currently selected unit to Attack/Guard.	J'ai mis dans la file d'attente l'unite choisir a attaquer/garder.
Turned On/Off Automatic Strategy Change.	Permettre/Proscire les changements automatiques de strategie.
Restrict	Restrictions
No Attacks	Pas d'attaques
No Creep Attacks	Pas d'attaques de creep
No Enemy Attacks	Pas d'attaques contre des ennemis
Farms	Fermes
Towers	Tourelles
Current screen	Position actuelle
Selected unit	L'unite selectionnee
Towerrush (Orc only)	Towerrush (Orc seulement)
No Strategy Change	Pas de changement de strategie
Start/Restart	Commencer/Recommencer
Build	Construire
Attack Here	Attaquer ici
Unpause	Reprise
Undo	Annuler
attack select	Attaque choisie
Air vs. Air	Air vs. Air
Air vs. Ground	Air vs. sol
Ground vs. Air	sol vs. Air
Ground vs. Ground	sol vs. sol
