Strategy Name in AI	Translated Strategy Name	Translated Strategy Report
ROCNormalElf	Normal	Je joue normalement et je construis quelque chose de tout.
ROCMassHD	Chasseresses et Dryades.	Je vais creer massivement des chasseresses avec quelques Dryades.
ROCDruids	Dryades et Druides Ours.	Je vais creer des Dryades et des Druides Ours.
ROCHippo	Chevaucheurs d'hippogryphe.	Je vais creer Chevaucheurs d'hippogryphe.
ROCBallista	Baliste.	I'm going glaive throwers and dryads
ROCTalon	Druide Corbeau.	Je vais creer des druides corbeau massivement.
ROCHippoChim	Hippogryphe et Chimere.	Je vais creer des Hippogryphes et des chimeres.
ROCDryadChim	Dryades et Chimeres.	Je vais creer des Dryades et des Chimeres.
ROCArcher	Archers	Je vais creer des archers en masse.
ROCDotC	Druides Ours	Je vais creer des Druides Ours massivement.
NormalElf	Normal	Je vais jouer normalement, je vais faire un peu de tout
MassHD	Hunts and Dryads	Je vais faire des chasseresses et des dryades
Druids	Dryads and DotC	Je vais faire des dryades et des druides ours
Hippo	Hippo Riders	Je vais faire beaucoups de chevaucheurs d'hippogryphe
Ballista	Ballista	Je vais construire des balistes et des dryades
Talon	Talon	Je vais construire des druides corbeaux en masse
HippoChim	HippoChim	Je vais aller pour des hippogryphes et des Chiméres
DryadChim	DryadChim	Je m'occupe des dryades et des chiméres
Archer	Archers	Je vaise faire beaucoup d'archers
DotC	Bears	Je vais m'occuper de faire des druides ours 
MassHuntress	Mass Hunts	Je vais faire beaucoup de chasseresses
MGDryads	Dryads and MGs	Je vais utiliser des dryades et des géants
AoWMix	AoW Mix	Je fais utiliser des unités de l'ancient du vent
AolMix	AoL Mix	Je vais mélanger des unités de l'ancient de Lore
NEAntiTower	Anti Tower	Je vais utiliser du siége
ROCNormalHuman	Normal	Je joue normalement et je construis quelque chose de tout.
ROCMassSp	Casters	Je vais creer des casters massivement.
ROCGryph	Chevaucheur de griffon.	Je vais creer des Chevaucheurs de griffon.
ROCKnight	Chevaliers.	Je vais creer des Fantassins et des Chevaliers en masse.
