chat_no_unit_selected	Ingen enhet valgt
chat_confirm_attack_unit	Jeg kommer til angrep/vokte den valgte enheten
chat_towerrush	Jeg vil prove a TR noen
chat_no_towerrush	Jeg kan ikke TR
chat_stop_towerrush	Jeg har butikk TR
chat_unsuited_towerrush	Ikke akkurat na TR
militia_expansion_chat	Jeg gar for militia utvidelse over her
invalid_strategy_number	Invalid strategi nummer
chat_dynamic_counter	og motvirke fiendene 
Strategy_Char_air	luftenhet
Strategy_Char_casters	hjulenhet
Strategy_Char_towers	tarnene
Strategy_Char_piercing	piercing angrepsenhet
Strategy_Char_normal	vanlig angrepsenhet
Strategy_Char_siege	beleiringsangrepsenhet
Strategy_Char_magic	magisk angrepsenhet
Strategy_Char_unarmored	ubevaepnet enhet
Strategy_Char_lightarmor	lightarmor enhet
Strategy_Char_mediumarmor	medium armor enhet
Strategy_Char_heavyarmor	tung rustningsenhet
