Strategy Name in AI	Translated Strategy Name	Translated Strategy Report
ROCNormalElf	Normal	Jeg spiller som vanlig og bygger litt av vert
ROCMassHD	Hunts og Dryads	Jeg bygger huntress og dryads
ROCDruids	Dryads og DotC	Jeg bygger dryads og DotC
ROCHippo	Hippo Riders	Jeg bygger hippo riders
ROCBallista	Ballista	Jeg bygger ballista og dryads
ROCTalon	Talon	Jeg bygger masse DotT
ROCHippoChim	Hippogim	Jeg bygger hippos og chimaeras
ROCDryadChim	DryadChim	Jeg bygger dryads og chimaeras
ROCArcher	Archers	Jeg spiller med archers
ROCDotC	DotC	Jeg spiller med DotC
NormalElf	Normal	Jeg spiller som vanlig og bygger litt av vert
MassH	Hunts og Dryads	Jeg bygger huntress og dryads
Druids	Dryads og DotC	Jeg bygger dryads og DotC
Hippo	Hippo Riders	Jeg bygger hippo riders
Ballista	Ballista	Jeg bygger ballista og dryads
Talon	Talon	Jeg bygger masse DotT
Hippogim	Hippogim	Jeg bygger hippos og chimaeras
DryadChim	DryadChim	Jeg bygger dryads og chimaeras
Archer	Archers	Jeg spiller med archers
DotC	DotC	Jeg spiller med DotC
MassHuntress	Mass Hunts	I'm going massive Huntresses
MGDryads	Dryads and MGs	I'm going dryads and mountain giants
AoWMix	AoW Mix	I'm mixing units from the AoW
AolMix	AoL Mix	I'm mixing units from the Ancient of Lore
NEAntiTower	Anti Tower	I'm massing seige equipment
ROCNormalHuman	Normal	Jeg spiller som vanlig og bygger litt av vert
ROCMassSp	Casters	Jeg spiller med casters
ROCGryph	Gryphon	Jeg bygger masse gryphoner
ROCKnight	Knights	Jeg skaffer footmen og knights
ROCRifle	Rifle	Jeg bygger masse riflemen
ROCMortars	Mortars	Jeg skaffer mortars og riflemen
ROCCopters	Copters	Jeg spiller med flyvemaskiner
NormalHuman	Normal	Jeg spiller som vanlig og bygger litt av vert
MassSp	Casters	Jeg spiller med casters
Gryph	Gryphon	Jeg bygger masse gryphoner
Knight	Knights	Jeg skaffer footmen og knights
Rifle	Rifle	Jeg bygger masse riflemen
Mortars	Mortars	Jeg skaffer mortars og riflemen
Copters	Copters	Jeg spiller med flyvemaskiner
MassSB	SpellBreakers	I'm going massive spell breakers
Dragonhawk	Dragon Hawks	I'm going dragon hawks
BarrackMix	Barrack Mix	I'm trying to mix units from barrack and workshop
SanctumMix	Sanctum Mix	I'm trying to mix units from sanctum and aviary
HAntiTower	Anti Tower	I'm massing seige equipment
VersusOrc	Mass Sorceress	I'm massing Sorceress
ROCNormalOrc	Normal	Jeg skaffer grunts og casters
ROCFastSh	Shamans og Taurens	Jeg skaffer casters og taurens
ROCKodo	Kodo	Jeg bygger masse kodo-beast
ROCWyvSh	Shamans og Wyverns	Jeg bygger Shamans og Wyverns
ROCHHunters	Head Hunters	Jeg bygger masse head hunters
ROCRaiders	Raiders	Jeg bygger masse raiders
ROCCatapults	Grunts og Katapulter	Jeg bygger grunts og katapulter
ROCHeadCatapults	Head hunters og Katapulter	Jeg skaffer headhunters og katapulter
NormalOrc	Normal	Jeg skaffer grunts og casters
FastSh	Shamans og Taurens	Jeg skaffer casters og taurens
WyvSh	Shamans og Wyverns	Jeg bygger Shamans og Wyverns
HHunters	Head Hunters	Jeg bygger masse head hunters
Raiders	Raiders	Jeg bygger masse raiders
GruntCatapults	Grunts og Katapulter	Jeg bygger grunts og katapulter
HeadCatapults	Head hunters og Katapulter	Jeg skaffer headhunters og katapulter
Wyvern	Mass Wyvern	I'm going massive wyverns
BarrackMix	Barrack Mix	I'm mixing units from barrack.
BestiaryMix	Bestiary Mix	I'm mixing units from bestiary
AntiPierce	Anti Pierce	I'm going melee units and raiders
AntiAir	Batriders	I'm a massing batriders
OAntiTower	Anti Tower	I'm massing seige equipment
VersusHuman	Raiders and Spirtwalkers	I'm going raiders and spirit walkers
VersusUndead	Grunts and Beastiary	I'm going Grunts and a mix from the beastiary
VersusElf	Raiders and Demolishers	I'm going raiders and Demolishers
ROCNormalUndead	Normal	Jeg spiller som vanlig og bygger litt av vert
ROCWyrms	Wyrms	Jeg bygger wyrms og crypt fiends
ROCBanshee	Banshees	Jeg skaffer bashees
ROCNecro	Necros	Jeg bygger necromancers
ROCGhouls	Ghouls	Jeg skaffer masse ghouls
ROCFiends	Fiends	Jeg bygger masse crypt fiends
ROCGargWyrm	Gargoyles og Wyrms	Jeg bygger gargs og wyrms
ROCAboms	Aboms	Jeg skaffer masse abominations
ROCMeatFiends	Meat wagons og Fiends	Jeg bygger fiends og meat wagons
NormalUndead	Normal	Jeg spiller som vanlig og bygger litt av vert
Wyrms	Wyrms	Jeg bygger wyrms og crypt fiends
Banshee	Banshees	Jeg skaffer bashees
Necro	Necros	Jeg bygger necromancers
Ghouls	Ghouls	Jeg skaffer masse ghouls
GargGhouls	Gargoyles and Ghouls	Jeg skaffer masse gargs og ghouls
Fiends	Fiends	Jeg bygger masse crypt fiends
GargWyrm	Gargoyles og Wyrms	Jeg bygger gargs og wyrms
Aboms	Aboms	Jeg skaffer masse abominations
MeatFiends	Meat wagons og Fiends	Jeg bygger fiends og meat wagons
MassDestroyer	Mass Destroyers	I'm going massive destroyers
CryptMix	Crypt Mix	I'm trying to mix units from crypt and slaughterhouse
TempleMix	Temple Mix	I'm mixing units from temple of the damned and slaughterhouse
UAntiTower	Anti Tower	I'm massing seige equipment
airair	Luft-Luft	Jeg bygger luft- mot luftenheter
airground	Luft-Mark	Jeg bygger luft- mot bakkeenheter
groundair	Mark-Luft	Jeg bygger bakke- mot luftenheter
groundground	Mark-Mark	Jeg bygger bakke- mot bakkeenheter
farm	Farms	Jeg bygger farms
guard	Torn	Jeg bygger tarn
