chat_no_unit_selected	Nenhuma unidade selecionada
chat_confirm_attack_unit	Atacar/proteger o cara selecionado unidade [TargetColor] [TargetRace] 
chat_towerrush	Vou tentar TR alguem
chat_no_towerrush	nao consigo TR
chat_shop_towerrush	eu tenho loja TR
chat_unsuited_towerrush	Nao agora TR
militia_expansion_chat	Estou indo para a expansao da mil¨ªcia aqui
invalid_strategy_number	Numero de estrategia invalido
chat_dynamic_counter	e combatendo os inimigos 
Strategy_Char_air	unidade de ar
Strategy_Char_casters	unidade de rodizios
Strategy_Char_towers	torres
Strategy_Char_piercing	unidade de ataque perfurante
Strategy_Char_normal	unidade de ataque normal
Strategy_Char_siege	unidade de ataque de cerco
Strategy_Char_magic	unidade de ataque magico
Strategy_Char_unarmored	unidade nao blindada
Strategy_Char_lightarmor	unidade de armadura leve
Strategy_Char_mediumarmor	unidade de armadura media
Strategy_Char_heavyarmor	unidade de armadura pesada
