Strategy Name in AI	Translated Strategy Name	Translated Strategy Report
ROCNormalElf	Normal	Eu jogarei normalmente construindo um pouco de tudo
ROCMassHD	Hunts and Dryads	Eu estou indo para Huntress em massa e algumas Dryads
ROCDruids	Dryads e DotC	Eu construirei Dryads e DotC
ROCHippo	Hippo Riders	Eu construirei Hippo Riders em massa
ROCBallista	Ballista	Eu farei Glaive Throwers e Dryads
ROCTalon	Talon	Eu farei toneladas de DotT
ROCHippoChim	HippoChim	Eu farei Hippógrifos e Chimaeras
ROCDryadChim	DryadChim	Indo pra Dryads e Chimaeras
ROCArcher	Archers	Vou fazer mass Archer
ROCDotC	Ursos	Tentarei DotC em massa
NormalElf	Normal	Eu jogarei normalmente construindo um pouco de tudo
MassH	Hunts and Dryads	Eu estou indo para Huntress em massa e algumas Dryads
Druids	Dryads e DotC	Eu construirei Dryads e DotC
Hippo	Hippo Riders	Eu construirei Hippo Riders em massa
Ballista	Ballista	Eu farei Glaive Throwers e Dryads
Talon	Talon	Eu farei toneladas de DotT
HippoChim	HippoChim	Eu farei Hippógrifos e Chimaeras
DryadChim	DryadChim	Indo pra Dryads e Chimaeras
Archer	Archers	Vou fazer mass Archer
DotC	Ursos	Tentarei DotC em massa
MassHuntress	Mass Huntress	Farei Huntresses em massa 
MGDryads	Dryads e MGs	Indo para Dryads e Gigantes da Montanha 
AoWMix	AoW Mix	Estou misturando unidades do AoW
AolMix	AoL Mix	Estou misturando unidades do Ancient of Lore
NEAntiTower	Anti Torre	Estou fazendo equipamentos de cerco em massa
ROCNormalHuman	Normal	Farei um pouco de tudo
ROCMassSp	Casters	Estou indo pra mass Casters
ROCGryph	Gryphon	Eu farei Gryphon riders
ROCKnight	Knights	Eu farei Footmen e Knights, muitos deles
ROCRifle	Rifle	Farei Riflemen
ROCMortars	Mortars	Farei Mortar Teams
ROCCopters	Copters	Vou fazer mass Flying machine
NormalHuman	Normal	Farei um pouco de tudo
MassSp	Casters	Estou indo pra mass Casters
Gryph	Gryphon	Eu farei Gryphon riders
Knight	Knights	Eu farei Footmen e Knights, muitos deles
Rifle	Rifle	Farei Riflemen
Mortars	Mortars	Farei Mortar Teams
Copters	Copters	Vou fazer mass Flying Machine
MassSB	SpellBreakers	Vou fazer mass Spell Breakers
Dragonhawk	Dragon Hawks	Vou de Dragon Hawks
BarrackMix	Barrack Mix	Estou tentando misturar unidades do Barracks e do Workshop
SanctumMix	Sanctum Mix	Estou tentando misturar unidades do Sanctum e do Aviary
HAntiTower	Anti Torre	Estou fazendo equipamentos de cerco em massa
VersusOrc	Mass Sorceress	Estou fazendo Sorceress em massa
ROCNormalOrc	Normal	Farei Grunts e casters
ROCFastSh	Shamans and Taurens	Farei Casters e Taurens
ROCKodo	Kodo	Vou fazer mass Kodo-Beast
ROCWyvSh	Shamans e Wyverns	Indo pra Shamans e Wyverns
ROCHHunters	Head Hunters	Vou tentar mass Troll HeadHunter
ROCRaiders	Raiders	Vou tentar mass Raiders
ROCCatapults	Grunts e Catapultas	Eu farei Grunts e Demolishers
ROCHeadCatapults	Head hunters e Catapultas	Vou tentar Headhunters e Demolishers
NormalOrc	Normal	Farei Grunts e Casters
FastSh	Shamans and Taurens	Farei Casters e Taureens
WyvSh	Shamans and Wyverns	Indo pra Shamans e Wyverns
HHunters	Head Hunters	Vou tentar mass Troll HeadHunter
Raiders	Raiders	Vou tentar mass Raiders
GruntCatapults	Grunts and Catapults	Eu farei Grunts e Demolishers
HeadCatapults	Head hunters and Catapults	Vamos tentar Headhunters e Demolishers
Wyvern	Mass Wyvern	Vou de wyverns em massa
BarrackMix	Barrack Mix	Estou misturando unidades do Barracks.
BestiaryMix	Bestiary Mix	Estou misturando unidades do Bestiary
AntiPierce	Anti Perfurante	Vou de unidades corpo-a-corpo e Raiders
AntiAir	Batriders	Estou fazendo em massa Batriders
OAntiTower	Anti Torre	Estou fazendo equipamentos de cerco em massa
VersusHuman	Raiders e Spirtwalkers	Vou de Raiders e Spirit Walkers
VersusUndead	Grunts e Beastiary	Vou de Grunts e uma mistura do Beastiary
VersusElf	Raiders e Demolishers	Vou de Raiders e Demolishers
ROCNormalUndead	Normal	Eu vou fazer um pouco de tudo
ROCWyrms	Wyrms	Farei wyrms e algumas Crypt Fiends
ROCBanshee	Banshees	Farei muitas Banshees
ROCNecro	Necros	Tentarei Necromancers
ROCGhouls	Ghouls	Farei mass Ghouls
ROCFiends	Fiends	Estou fazendo mass Crypt Fiends
ROCGargWyrm	Gargoyles e Wyrms	Farei Gargs e Wyrms
ROCAboms	Aboms	Vou fazer mass Abominations
ROCMeatFiends	Meat wagons and Fiends	Eu tentarei Fiends e Meat Wagons
NormalUndead	Normal	Eu vou fazer um pouco de tudo
Wyrms	Wyrms	Farei Wyrms e algumas Crypt Fiends
Banshee	Banshees	Farei muitas Banshees
Necro	Necros	Tentarei Necromancers
Ghouls	Ghouls	Farei mass Ghouls
Fiends	Fiends	Estou fazendo mass Crypt Fiends
GargWyrm	Gargoyles and Wyrms	Farei Gargs e Wyrms
Aboms	Aboms	Vou fazer mass Abominations
MeatFiends	Meat Wagons e Fiends	Eu tentarei Fiends e Meat Wagons
MassDestroyer	Mass Destroyers	Vou de mass Destroyers
CryptMix	Crypt Mix	Estou tentando misturar unidades da Crypt e do Slaughterhouse
TempleMix	Temple Mix	Estou misturando unidades do Temple of the Damned e Slaughterhouse
UAntiTower	Anti Torre	Estou fazendo equipamentos de cerco em massa
airair	Ar-Ar	Eu farei unidades aéreas contra aéreas
airground	Ar-Terra	Eu farei unidades aéreas contra terrestres
groundair	Anti-Aéreo	Eu farei unidades terrestres contra aéreas
groundground	Terra-Terra	Eu farei unidades terrestres contra terrestres
farm	fazendas	Eu construirei fazendas
guard	Torres	Eu construirei torres
