Strategy_Char_air	unidade de ar
Strategy_Char_casters	unidade de rodízios
Strategy_Char_towers	torres
Strategy_Char_piercing	unidade de ataque perfurante
Strategy_Char_normal	unidade de ataque normal
Strategy_Char_siege	unidade de ataque de cerco
Strategy_Char_magic	unidade de ataque magico
Strategy_Char_unarmored	unidade nao blindada
Strategy_Char_lightarmor	unidade de armadura leve
Strategy_Char_mediumarmor	unidade de armadura media
Strategy_Char_heavyarmor	unidade de armadura pesada
