chat_no_unit_selected	Nici o unitate selectata
chat_confirm_attack_unit	Voi ataca/apara unitatea selectata
chat_towerrush	O sa incerc sa fac TR pe cineva
chat_no_towerrush	Nu pot TR
chat_shop_towerrush	Am magazin TR
chat_unsuited_towerrush	Nu acum TR
militia_expansion_chat	Voi face militia expansion aici 
invalid_strategy_number	Număr de strategie nevalid
chat_dynamic_counter	și combaterea dușmanilor
Strategy_Char_air	unitate de aer
Strategy_Char_casters	unitate cu rotile
Strategy_Char_towers	turnuri
Strategy_Char_piercing	unitate de atac piercing
Strategy_Char_normal	unitate de atac normala
Strategy_Char_siege	unitate de atac de asediu
Strategy_Char_magic	unitate de atac magic
Strategy_Char_unarmored	unitate neblindata
Strategy_Char_lightarmor	unitate lightarmour
Strategy_Char_mediumarmor	unitate de armura medie
Strategy_Char_heavyarmor	unitate de armuri grele
