Strategy Name in AI	Translated Strategy Name	Translated Strategy Report
ROCNormalElf	Normal	Voi juca normal si voi face cite ceva din toate
ROCMassHD	Hunts si Dryads	Voi face multe huntress cu ceva dryads
ROCDruids	Dryads si DotC	Voi face dryads si DotC
ROCHippo	Hippo Riders	Voi face hippo riders
ROCBallista	Ballista	Voi face glaive throwers si dryads
ROCTalon	Talon	Voi face multi DotT
ROCHippoChim	HippoChim	Voi face hippos si chimaera
ROCDryadChim	DryadChim	Voi face dryads si chimaeras
ROCArcher	Archers	Voi face multi archers
ROCDotC	Bears	Voi face multi DotC
NormalElf	Normal	Voi juca normal si voi face cite ceva din toate
MassHD	Hunts si Dryads	Voi face multe huntress cu ceva dryads
Druids	Dryads si DotC	Voi face dryads si DotC
Hippo	Hippo Riders	Voi face hippo riders
Ballista	Ballista	Voi face glaive throwers si dryads
Talon	Talon	Voi face multi DotT
HippoChim	HippoChim	Voi face hippos si chimaera
DryadChim	DryadChim	Voi face dryads si chimaeras
Archer	Archers	Voi face multi archers
DotC	Bears	Voi face multi DotC
MassHuntress	Mass Hunts	I'm going massive Huntresses
MGDryads	Dryads and MGs	I'm going dryads and mountain giants
AoWMix	AoW Mix	I'm mixing units from the AoW
AoLMix	AoL Mix	I'm mixing units from the Ancient of Lore
NEAntiTower	Anti Tower	I'm massing seige equipment
ROCNormalHuman	Normal	Voi juca normal si voi face cite ceva din toate
ROCMassSp	Casters	Voi face multi spell casters
ROCGryph	Gryphon	Voi face gryphon riders
ROCKnight	Knights	Voi face multi footmen si knights
ROCRifle	Rifle	Voi face multi riflemen
ROCMortars	Mortars	Ma duc pe mortars
ROCCopters	Copters	Voi face flying machines
NormalHuman	Normal	Voi juca normal si voi face cite ceva din toate
MassSp	Casters	Voi face multi spell casters
Gryph	Gryphon	Voi face gryphon riders
Knight	Knights	Voi face multi footmen si knights
Rifle	Rifle	Voi face multi riflemen
Mortars	Mortars	Ma duc pe mortars
Copters	Copters	Voi face flying machines
MassSB	SpellBreakers	I'm going massive spell breakers
Dragonhawk	Dragon Hawks	I'm going dragon hawks
BarrackMix	Barrack Mix	I'm trying to mix units from barrack and workshop
SanctumMix	Sanctum Mix	I'm trying to mix units from sanctum and aviary
HAntiTower	Anti Tower	I'm massing seige equipment
VersusOrc	Mass Sorceress	I'm massing Sorceress
ROCNormalOrc	Normal	Voi face grunts si casters
ROCFastSh	Shamans and Taurens	Voi face casters si taurens
ROCKodo	Kodo	Voi face multi kodo-beasts
ROCWyvSh	Shamans and Wyverns	Voi face Shamans si Wyverns
ROCHHunters	Head Hunters	Voi face multi head hunters
ROCRaiders	Raiders	Voi face multi raiders
ROCCatapults	Grunts and Catapults	Voi face grunts si demolisher
ROCHeadCatapults	Head hunters and Catapults	Voi face headhunters si demolishers
NormalOrc	Normal	Voi face grunts si casters
FastSh	Shamans and Taurens	Voi face casters si taurens
WyvSh	Shamans and Wyverns	Voi face Shamans si Wyverns
HHunters	Head Hunters	Voi face multi head hunters
Raiders	Raiders	Voi face multi raiders
GruntCatapults	Grunts and Catapults	Voi face grunts si demolisher
HeadCatapults	Head hunters and Catapults	Voi face headhunters si demolishers
Wyvern	Mass Wyvern	I'm going massive wyverns
BarrackMix	Barrack Mix	I'm mixing units from barrack.
BestiaryMix	Bestiary Mix	I'm mixing units from bestiary
AntiPierce	Anti Pierce	I'm going melee units and raiders
AntiAir	Batriders	I'm a massing batriders
OAntiTower	Anti Tower	I'm massing seige equipment
VersusHuman	Raiders and Spirtwalkers	I'm going raiders and spirit walkers
VersusUndead	Grunts and Beastiary	I'm going Grunts and a mix from the beastiary
VersusElf	Raiders and Demolishers	I'm going raiders and Demolishers
ROCNormalUndead	Normal	Voi juca normal si voi face cite ceva din toate
ROCWyrms	Wyrms	Voi face wyrm rush cu citiva crypt fiends
ROCBanshee	Banshees	Voi face aproape numai banshees
ROCNecro	Necros	Voi face necromancers
ROCGhouls	Ghouls	Voi face multi ghouls
ROCFiends	Fiends	Voi face multi crypt fiends
ROCGargWyrm	Gargoyles and Wyrms	Voi face gargs si wyrms
ROCAboms	Aboms	Voi face multe abominations
ROCMeatFiends	Meat wagons and Fiends	Voi face fiends si meat wagons
NormalUndead	Normal	Voi juca normal si voi face cite ceva din toate
Wyrms	Wyrms	Voi face wyrm rush cu citiva crypt fiends
Banshee	Banshees	Voi face aproape numai banshees
Necro	Necros	Voi face necromancers
Ghouls	Ghouls	Voi face multi ghouls
GargGhouls	Gargoyles and Ghouls	Voi face gargs si Ghouls
Fiends	Fiends	Voi face multi crypt fiends
GargWyrm	Gargoyles and Wyrms	Voi face gargs si wyrms
Aboms	Aboms	Voi face multe abominations
MeatFiends	Meat wagons and Fiends	Voi face fiends si meat wagons
MassDestroyer	Mass Destroyers	I'm going massive destroyers
CryptMix	Crypt Mix	I'm trying to mix units from crypt and slaughterhouse
TempleMix	Temple Mix	I'm mixing units from temple of the damned and slaughterhouse
UAntiTower	Anti Tower	I'm massing seige equipment
airair	Air-Air	Voi face unitati Aer-Aer
airground	Air-Ground	Voi face unitati Aer-Sol
groundair	Ground-Air	Voi face unitati Sol-Aer
groundground	Ground-Ground	Voi face unitati Sol-Sol
farm	Farms	Voi construi ferme
guard	Towers	Voi construi turnuri
