To be translated	Translation
AI Setting	Настройки AI
Chatter	Чат
Turned On/Off Computer Chatter.	Включить / выключить чат компьютера.
Turned On/Off Debug Mode.	Включить / выключить дебаг режим.
Turned On/Off Balancing Mode.	Включить / выключить режим балансирования.
Show	Показать.
Current Strategy	Данная стратегия.
Showing current strategy.	Показываю данную стратегию.
Strategy names	Названия стратегий
Change Strategy	Сменить стратегию.
Changes current strategy.	Меняю стратегию.
Cancel Orders	Отменить приказы.
All Orders	Все приказы
I have Canceled All commands you have given me so far.	Я отменил все приказы, которые ты мне давал.
Attack Orders	Атаковать.
I have Canceled all Attack commands you have given me so far.	Я отменил все приказы атак, которые ты мне давал.
Build Orders	Строить.
I have Canceled all Build commands you have given me so far.	Я отменил все приказы по поводу строительства, которые ты мне давал.
Queue	Очередь.
I have Canceled all Queued commands you have given me so far.	Я отменил все приказы в очереди.
I will Stop any current Attack.	Я прекращаю атаку.
I will not Attack Anything.	Я никого не буду атаковать.
I will not Attack Creeps.	Я не буду бить бомжей.
I will not Attack Enemies.	Я не буду атаковать врагов.
I will build Air2Air units now.	Я буду строить юнитов воздух-воздух теперь.
I will build Air2Ground units now.	Я буду делать воздух-землю.
I will build Ground2Air units now.	Я буду строить земля-воздух сейчас.
I will build Ground2Ground units now.	Делаю землю-землю.
I will build farms now.	Строю фермы.
I will build towers now.	Строю башни.
I will Attack/Guard the location of current screen position.	Буду охранять / атаковать данное положение экрана.
I will Attack/Guard the currently selected unit.	Я буду атаковать / защищать выбранного юнита.
I will Attack/Guard the specified player.	Я буду атаковать / защищать выбранного игрока.
I have Started or Restarted your Queued commands.	Я начал выполнять очередь команд.
I have Paused your Queued commands.	Я отложил приказы в очереди.
I have Unpaused your Queued commands.	Я снова выполняю приказы в очереди.
I have Removed your last Queued command.	Убрал последнею в очереди команду.
I have Queued the Attack/Guard location of current screen position.	Приказание защищать / атаковать данное положение экрана в очереди.
I have Queued the currently selected unit to Attack/Guard.	Приказание защищать / атаковать выбранного юнита в очереди.
Turned On/Off Automatic Strategy Change.	Включил / выключил автоматический выбор стратегий.
Restrict	Запретить.
No Attacks	Не атаковать.
No Creep Attacks	Не атаковать крипов.
No Enemy Attacks	Не атаковать врагов.
Farms	Фермы
Towers	Башни
Current screen	Вид экрана
Selected unit	Выбр. юнит.
Towerrush (Orc only)	Товерраш (только для орка)
Start/Restart	Начать.
No Strategy Change	Не менять.
Build	Строить.
Attack Here	Атаковать тут.
Unpause	Снять с паузы.
Undo	Назад.
attack select	Выбор атаки.
Air vs. Air	Воздух-воздух.
Air vs. Ground	Воздух-земля.
Ground vs. Air	Земля-воздух.
Ground vs. Ground	Земля-земля.
