Strategy Name in AI	Translated Strategy Name	Translated Strategy Report
ROCNormalElf	Обычный эльф	Буду играть как обычно и строить всего понемножку.
ROCMassHD	Хантресски + Дриады	Иду в масс охотниц и парочку дриад.
ROCDruids	Дриады + Мишки	Строю дриад и друидов когтя.
ROCHippo	Гиппосы	Строю масс наездниц на гиппогрифах.
ROCBallista	Баллисты + Дриады	Делаю баллисты и дриад.
ROCTalon	Талоны	Собираюсь сделать кучу талонов.
ROCHippoChim	Гиппо-Химы	Даю гиппов и химер.
ROCDryadChim	Дриады + Химеры	Иду в дриад и химер.
ROCArcher	Арчеры	Иду в масс лучниц.
ROCDotC	Мишки	Попробую масс друидами когтя.
NormalElf	Обычный эльф	Буду играть как обычно и строить всего понемножку.
MassHD	Хантресски + Дриады	Иду в масс охотниц и парочку дриад.
Druids	Дриады + Мишки	Строю дриад и друидов когтя.
Hippo	Гиппосы	Строю масс наездниц на гиппогрифах.
Ballista	Баллисты + Дриады	Делаю баллисты и дриад.
Talon	Талоны	Собираюсь сделать кучу талонов.
HippoChim	Гиппо-Химы	Даю гиппов и химер.
DryadChim	Дриады + Химеры	Иду в дриад и химер.
Archer	Арчеры	Иду в масс лучниц.
DotC	Мишки	Попробую масс друидами когтя.
MassHuntress	Масс хантс	Иду в масс хантресс.
MGDryads	Дриады и гиганты	Делаю дриад и гигантов.
AoWMix	AoW	Смешиваю юнитов из древа войны.
AoLMix	AoL	Смешиваю юнитов из древа мудрости.
NEAntiTower	Anti Tower	I'm massing seige equipment
ROCNormalHuman	Обычный хуманс	Буду играть как обычно и строить всего понемножку.
ROCMassSp	Кастеры	Иду в масс кастеров.
ROCGryph	Грифы	Строю грифонов.
ROCKnight	Футы + Кнайты	Строю масс пехотинцев и рыцарей.
ROCRifle	Рифлы	Собираюсь делать стрелков.
ROCMortars	Мортирщики	Иду в мортирщиков.
ROCCopters	Вертолеты	Массовое производство вертолетов.
NormalHuman	Обычный хуманс	Буду играть как обычно и строить всего понемножку.
MassSp	Кастеры	Иду в масс кастеров.
Gryph	Грифы	Строю грифонов.
Knight	Футы + Кнайты	Строю масс пехотинцев и рыцарей.
Rifle	Рифлы	Собираюсь делать стрелков.
Mortars	Мортирщики	Иду в мортирщиков.
MassSB	Брякеры	Делаю спеллбрейкеров.
Dragonhawks	Хавки	Иду в масс хавков.
HBarrackMix	Смесь пехоты	Смешиваю юнитов из барака и мастерской.
SanctumMix	Воздух и кастеры	Смешиваю юнитов из храма и башни грифонов.
Copters	Вертолеты	Массовое производство вертолетов.
HAntiTower	Anti Tower	I'm massing seige equipment
VersusOrc	Mass Sorceress	I'm massing Sorceress
ROCNormalOrc	Гранты+Кастеры	Иду в бугаев и шаманов.
ROCFastSh	Шаманы + Минычи	Делаю шаманов и минотавров.
ROCKodo	Кодои	Иду в масс кодоев.
ROCWyvSh	Шаманы + Виверны	Иду в шаманов и виверн.
ROCHHunters	Тролли	Пробую масс охотников за головами.
ROCRaiders	Волчары	Делаю масс волчьих всадников.
ROCCatapults	Гранты + Катапульты	Иду в бугаев и катапульты.
ROCHeadCatapults	Тролли + Катапульты	Попробую охотников за головами с катапультами.
NormalOrc	Гранты+Кастеры	Иду в бугаев и шаманов.
FastSh	Шаманы + Минычи	Делаю шаманов и минотавров.
WyvSh	Шаманы + Виверны	Иду в шаманов и виверн.
HHunters	Тролли	Пробую масс охотников за головами.
Raiders	Волчары	Делаю масс волчьих всадников.
GruntCatapults	Гранты + Катапульты	Иду в бугаев и катапульты.
HeadCatapults	Тролли + Катапульты	Попробую охотников за головами с катапультами.
Wyvern	Виверны	Увеличиваю рождаемость виверн.
OBarrackMix	Казармовая смесь	Делаю юнитов только из казарм.
BestiaryMix	Звери	Делаю юнитов в основном из зверинца.
AntiPierce	Anti Pierce	I'm going melee units and raiders
AntiAir	Batriders	I'm a massing batriders
OAntiTower	Anti Tower	I'm massing seige equipment
VersusHuman	Raiders and Spirtwalkers	I'm going raiders and spirit walkers
VersusUndead	Grunts and Beastiary	I'm going Grunts and a mix from the beastiary
VersusElf	Raiders and Demolishers	I'm going raiders and Demolishers
ROCNormalUndead	Обычный дед	Буду играть как обычно и строить всего понемножку.
ROCWyrms	Вирмы + Финды	Иду в ледяных змеев и парочку пауков.
ROCBanshee	Баньши	В основном иду в баньшей.
ROCNecro	Некросы	Пробую некромантов.
ROCGhouls	Гули	Строю масс упырей.
ROCFiends	Финды	Собираюсь пойти в масс пауков.
ROCGargWyrm	Гарги + Вирмы	Делаю гаргулий и ледяных змеев.
ROCAboms	Абомы	Иду в масс мясников.
ROCMeatFiends	Вагоны + Финды	Попробую пойти в труповозки и пауков.
NormalUndead	Обычный дед	Буду играть как обычно и строить всего понемножку.
Wyrms	Вирмы + Финды	Иду в ледяных змеев и парочку пауков.
Banshee	Баньши	В основном иду в баньшей.
Necro	Некросы	Пробую некромантов.
Ghouls	Гули	Строю масс упырей.
GargGhouls	Горгульи и упыри	Я собираю гаргов и упырей
Fiends	Финды	Собираюсь пойти в масс пауков.
GargWyrm	Гарги + Вирмы	Делаю гаргулий и ледяных змеев.
Aboms	Абомы	Иду в масс мясников.
MeatFiends	Вагоны + Финды	Попробую пойти в труповозки и пауков.
MassDestroyer	Дестры	Делаю дестроеров.
CryptMix	Склеп	Делаю юнитов преимущественно из склепа.
TempleMix	Храм мертвых	Делаю юнитов преимущественно из храма мертвых.
UAntiTower	Anti Tower	I'm massing seige equipment
airair	Воздух-Воздух	Строю воздушные юниты против воздушных.
airground	Воздух-Земля	Строю воздушные юниты против наземных.
groundair	Земля-Воздух	Строю наземные юниты против воздушных.
groundground	Земля-Земля	Строю наземные юниты против земных.
farm	Фермы	Строю фермы.
guard	Башни	Строю башни.
