chat_no_unit_selected	Ninguna unidad esta seleccionada
chat_confirm_attack_unit	Voy a atacar/proteger la unidad seleccionada
chat_towerrush	Intentare hacer TR a alguien
chat_no_towerrush	no puedo TR
chat_stop_towerrush	tengo tienda TR
chat_unsuited_towerrush	No ahora TR
militia_expansion_chat	Voy a intentar una expansion con milicianos aqui
invalid_strategy_number	Numero de estrategia no valido
chat_dynamic_counter	y contrarrestando a los enemigos 
Strategy_Char_air	unidad de aire
Strategy_Char_casters	unidad de ruedas
Strategy_Char_towers	torres
Strategy_Char_piercing	unidad de ataque perforante
Strategy_Char_normal	unidad de ataque normal
Strategy_Char_siege	unidad de ataque de asedio
Strategy_Char_magic	unidad de ataque magico
Strategy_Char_unarmored	unidad no blindada
Strategy_Char_lightarmor	unidad de armadura ligera
Strategy_Char_mediumarmor	unidad de armadura media
Strategy_Char_heavyarmor	unidad de armadura pesada
