To be translated	Translation
AI Setting	Opción de la IA
Chatter	Conversacion
Turned On/Off Computer Chatter.	Se activó/desactivó la conversacion de la computadora.
Turned On/Off Debug Mode.	Se activó/desactivó el modo de depuración.
Turned On/Off Balancing Mode.	Se activó/desactivó el modo de balance.
Show	Mostrar
Current Strategy	Estrategia actual
Showing current strategy.	Mostrando estrategia actual.
Strategy names	Nombres de estrategias
Change Strategy	Cambiar Estrategia
Changes current strategy.	Cambiando de estrategia.	
Cancel Orders	Cancelar órdenes
All Orders	Todas las órdenes
I have Canceled All commands you have given me so far.	He cancelado todos los comandos que me diste hasta ahora.
Attack Orders	Ordenes de Ataque
I have Canceled all Attack commands you have given me so far.	He cancelado todos los comandos de ataque que me diste hasta ahora.
Build Orders	 Ordenes de Construccion
I have Canceled all Build commands you have given me so far.	He cancelado todos los comandos de construccion que me diste hasta ahora.
Queue	Comandos en la Cola
I have Canceled all Queued commands you have given me so far.	He cancelado todos los comandos en cola que me diste hasta ahora.
I will Stop any current Attack.	Voy a detener todos los ataques.
I will not Attack Anything.	No voy a atacar nada.
I will not Attack Creeps.	No voy a atacar a los creeps.
I will not Attack Enemies.	No voy a atacar a los enemigos.
I will build Air2Air units now.	Ahora voy a entrenar unidades Aire-Aire.
I will build Air2Ground units now.	Ahora voy a entrenar unidades Aire-Tierra.
I will build Ground2Air units now.	Ahora voy a entrenar unidades Tierra-Aire.
I will build Ground2Ground units now.	Ahora voy a entrenar unidades Tierra-Tierra.
I will build farms now.	Ahora voy a construir granjas.
I will build towers now.	Ahora voy a construir torres.
I will Attack/Guard the location of current screen position.	Voy a atacar/proteger la zona actualmente en pantalla.
I will Attack/Guard the currently selected unit.	Voy a atacar/proteger la unidad seleccionada.
I will Attack/Guard the specified player.	Voy a atacar/proteger al jugador especificado.
I have Started or Restarted your Queued commands.	He comenzado (o reiniciado) tus comandos en cola.
I have Paused your Queued commands.	He dejado en pausa tus comandos en cola.
I have Unpaused your Queued commands.	Procedo a continuar tus comandos en cola.
I have Removed your last Queued command.	He removido tu último comando en cola.
I have Queued the Attack/Guard location of current screen position.	He dejado en cola la orden para atacar/proteger la zona en pantalla.
I have Queued the currently selected unit to Attack/Guard.	He dejado en cola la orden para atacar/proteger la unidad seleccionada.
Turned On/Off Automatic Strategy Change.	Se activó/desactivó el cambio automático de estrategia.
Restrict	Restringir
No Attacks	No atacar
No Creep Attacks	No atacar a los creeps
No Enemy Attacks	No atacar a los enemigos
Farms	Granjas
Towers	Torres
Current screen	Zona en pantalla
Selected unit	Unidad seleccionada
Towerrush (Orc only)	Usar torres (solo orcos)
Start/Restart	Comenzar/reiniciar
No Strategy Change	Persistir en la misma estrategia
Build	Construir
Attack Here	Atacar aquí
Unpause	Continuar
Undo	Deshacer
attack select	Atacar selección
Air vs. Air	Aire contra aire
Air vs. Ground	Aire contra tierra
Ground vs. Air	Tierra contra aire
Ground vs. Ground	Tierra contra tierra
