Strategy Name in AI	Translated Strategy Name	Translated Strategy Report
ROCNormalElf	Normal	Jugaré normal y entrenaré algo de cada cosa
ROCMassHD	Cazadoras y Dryads	Entrenaré cazadoras en masa y algunas dríadas
ROCDruids	Dríadas y osos	Entrenaré dríadas y druidas de la zarpa
ROCHippo	Jinetes de hipogrifos	Entrenaré jinetes de hipogrifos
ROCBallista	Ballestas	Entrenaré ballestas y dríadas
ROCTalon	Garra	Entrenaré druidas de la garra en masa
ROCHippoChim	Hipogrifos y quimeras	Entrenaré hipogrifos y quimeras
ROCDryadChim	Dríadas y quimeras	Entrenaré dríadas y quimeras
ROCArcher	Arqueras	Entrenaré arqueras en masa
ROCDotC	Osos	Entrenaré druidas de la zarpa en masa
NormalElf	Normal	Jugaré un poco de todo
MassHD	Cazadoras y dríadas	Entrenaré cazadoras en masa y algunas dríadas
Druids	Dríadas y osos	Entrenando dríadas y druidas de la zarpa
Hippo	Jinetes de hipogrifos	Entrenando jinetes de hipogrifo en masa
Ballista	Ballestas	Entrenando ballestas y dríadas
Talon	Talon	Entrenando druidas de la garra en masa
HippoChim	Hipogrifos y quimeras	Entrenando hipogrifos y quimeras
DryadChim	Dríadas y quimeras	Entrenando dríadas y quimeras
Archer	Arqueras	Entrenando arqueras en masa
DotC	Osos	Entrenando druidas de la zarpa en masa
MassHuntress	Cazadoras en masa	Entrenando cazadoras en masa y algunas dríadas
MGDryads	Dríades y gigantes	Entrenando dríadas y gigantes de la montaña
AoWMix	Mezcla AoV	Combinando unidades del Ancestro de Viento
AoLMix	Mezcla AoS	Combinando unidades del Ancestro de Sabiduría
NEAntiTower	Antitorres	Acopiando armas de asedio
ROCNormalHuman	Normal	Jugaré normal y entrenaré algo de cada cosa
ROCMassSp	Magicas	Entrenaré unidades mágicas en masa
ROCGryph	Grifos	Entrenaré jinetes de grifos
ROCKnight	Caballeros	Entrenaré soldados rasos y caballeros en masa
ROCRifle	Rifleros	Entrenaré rifleros en masa
ROCMortars	Morteros	Entrenaré equipos morteros
ROCCopters	Girocópteros	Construyendo máquinas voladoras
NormalHuman	Normal	Jugaré un poco de todo
MassSp	Hechiceros	Entrenando hechiceros en masa
Gryph	Gryphon	Entrenando jinetes de grifos
Knight	Caballeros	Entrenando soldados y caballeros en masa
Rifle	Fusil	Entrenando Fusileros y sacerdotes en masa
Mortars	Mortero	Entrenando Equipos mortero y Fusileros
Copters		Construyendo máquinas voladoras
MassSB	Deshacedores	Entrenando deshacedores de hechizos en masa
