chat_no_unit_selected	Ingen enhet vald.
chat_confirm_attack_unit	Jag kommer anfalla/vakta den valda enheten.
chat_towerrush	Jag ska forsoka TR nagon
chat_no_towerrush	Jag kan inte TR
chat_shop_towerrush	Jag har butik TR
chat_unsuited_towerrush	Inte just nu TR
militia_expansion_chat	Jag gar for milisexpansion har
invalid_strategy_number	Ogiltigt strateginummer
chat_dynamic_counter	och motverka fienderna 
Strategy_Char_air	luftenhet
Strategy_Char_casters	hjulenhet
Strategy_Char_towers	torn
Strategy_Char_piercing	piercing attack enhet
Strategy_Char_normal	normal attackenhet
Strategy_Char_siege	belagringsanfallsenhet
Strategy_Char_magic	magisk attackenhet
Strategy_Char_unarmored	obepansrad enhet
Strategy_Char_lightarmor	lightarmor enhet
Strategy_Char_mediumarmor	medium pansarenhet
Strategy_Char_heavyarmor	tung pansarenhet
