Unit 4-letter-code	Icon file	X deviation	Y deviation
ngad	UI/MiniMap/AMAI_MiniMap-Laboratory.mdx	0	0
ngme	UI/MiniMap/AMAI_MiniMap-Shop.mdx	0	0
nmrk	UI/MiniMap/AMAI_MiniMap-Shop.mdx	0	0
ntav	UI/MiniMap/AMAI_MiniMap-Tavern.mdx	0	0
nfoh	UI/MiniMap/AMAI_MiniMap-FountainLife.mdx	0	0
nmoo	UI/MiniMap/AMAI_MiniMap-FountainMana.mdx	0	0
nfnp	UI/MiniMap/AMAI_MiniMap-FountainPower.mdx	0	0
ndrr	UI/MiniMap/AMAI_MiniMap-GragonRoost.mdx	0	0
ndrg	UI/MiniMap/AMAI_MiniMap-GragonRoost.mdx	0	0
ndro	UI/MiniMap/AMAI_MiniMap-GragonRoost.mdx	0	0
ndru	UI/MiniMap/AMAI_MiniMap-GragonRoost.mdx	0	0
ndrz	UI/MiniMap/AMAI_MiniMap-GragonRoost.mdx	0	0
ndrk	UI/MiniMap/AMAI_MiniMap-GragonRoost.mdx	0	0
nmer	UI/MiniMap/AMAI_MiniMap-Mercenary.mdx	0	0
nmr2	UI/MiniMap/AMAI_MiniMap-Mercenary.mdx	0	0
nmr3	UI/MiniMap/AMAI_MiniMap-Mercenary.mdx	0	0
nmr4	UI/MiniMap/AMAI_MiniMap-Mercenary.mdx	0	0
nmr5	UI/MiniMap/AMAI_MiniMap-Mercenary.mdx	0	0
nmr6	UI/MiniMap/AMAI_MiniMap-Mercenary.mdx	0	0
nmr7	UI/MiniMap/AMAI_MiniMap-Mercenary.mdx	0	0
nmr8	UI/MiniMap/AMAI_MiniMap-Mercenary.mdx	0	0
nmr9	UI/MiniMap/AMAI_MiniMap-Mercenary.mdx	0	0
nmr0	UI/MiniMap/AMAI_MiniMap-Mercenary.mdx	0	0
nmra	UI/MiniMap/AMAI_MiniMap-Mercenary.mdx	0	0
nmrb	UI/MiniMap/AMAI_MiniMap-Mercenary.mdx	0	0
nmrc	UI/MiniMap/AMAI_MiniMap-Mercenary.mdx	0	0
nmrd	UI/MiniMap/AMAI_MiniMap-Mercenary.mdx	0	0
nmre	UI/MiniMap/AMAI_MiniMap-Mercenary.mdx	0	0
nmrf	UI/MiniMap/AMAI_MiniMap-Mercenary.mdx	0	0
nmrc	UI/MiniMap/AMAI_MiniMap-Mercenary.mdx	0	0
n000	UI/MiniMap/AMAI_MiniMap-Mercenary.mdx	0	0
nwgt	UI/MiniMap/AMAI_MiniMap-WaypointMarker.mdx	0	0
nshp	UI/MiniMap/AMAI_MiniMap-ShipYard.mdx	0	0
