Level 1 Spell	Level 2 Spell	Level 3 Spell	Level 4 Spell	Level 5 Spell	Level 6 Spell	Level 7 Spell	Level 8 Spell	Level 9 Spell	Level 10 Spell
EVASION	MANA_BURN	MANA_BURN	EVASION	MANA_BURN	METAMORPHOSIS	EVASION	IMMOLATION	IMMOLATION	IMMOLATION
IMMOLATION	EVASION	IMMOLATION	MANA_BURN	MANA_BURN	METAMORPHOSIS	MANA_BURN	IMMOLATION	EVASION	EVASION
MANA_BURN	EVASION	MANA_BURN	EVASION	MANA_BURN	METAMORPHOSIS	EVASION	IMMOLATION	IMMOLATION	IMMOLATION
MANA_BURN	EVASION	EVASION	IMMOLATION	MANA_BURN	METAMORPHOSIS	EVASION	MANA_BURN	IMMOLATION	IMMOLATION
IMMOLATION	EVASION	IMMOLATION	EVASION	IMMOLATION	METAMORPHOSIS	EVASION	MANA_BURN	MANA_BURN	MANA_BURN
MANA_BURN	EVASION	MANA_BURN	EVASION	MANA_BURN	METAMORPHOSIS	EVASION	IMMOLATION	IMMOLATION	IMMOLATION
IMMOLATION	EVASION	IMMOLATION	EVASION	IMMOLATION	METAMORPHOSIS	MANA_BURN	EVASION	MANA_BURN	MANA_BURN
EVASION	IMMOLATION	EVASION	MANA_BURN	EVASION	METAMORPHOSIS	MANA_BURN	MANA_BURN	IMMOLATION	IMMOLATION
MANA_BURN	EVASION	MANA_BURN	EVASION	MANA_BURN	METAMORPHOSIS	EVASION	IMMOLATION	IMMOLATION	IMMOLATION
FORCE_NATURE	ENT_ROOTS	ENT_ROOTS	FORCE_NATURE	ENT_ROOTS	TRANQUILITY	FORCE_NATURE	THORNS_AURA	THORNS_AURA	THORNS_AURA
FORCE_NATURE	ENT_ROOTS	FORCE_NATURE	ENT_ROOTS	FORCE_NATURE	TRANQUILITY	ENT_ROOTS	THORNS_AURA	THORNS_AURA	THORNS_AURA
FORCE_NATURE	ENT_ROOTS	ENT_ROOTS	THORNS_AURA	ENT_ROOTS	TRANQUILITY	THORNS_AURA	THORNS_AURA	FORCE_NATURE	FORCE_NATURE
ENT_ROOTS	FORCE_NATURE	ENT_ROOTS	FORCE_NATURE	ENT_ROOTS	TRANQUILITY	FORCE_NATURE	THORNS_AURA	THORNS_AURA	THORNS_AURA
ENT_ROOTS	THORNS_AURA	ENT_ROOTS	THORNS_AURA	ENT_ROOTS	TRANQUILITY	THORNS_AURA	FORCE_NATURE	FORCE_NATURE	FORCE_NATURE
ENT_ROOTS	FORCE_NATURE	ENT_ROOTS	THORNS_AURA	ENT_ROOTS	TRANQUILITY	THORNS_AURA	THORNS_AURA	FORCE_NATURE	FORCE_NATURE
