TileSet	CampID	Merc1	Merc2	Merc3	Merc4	healer	caster	melee	range	stopper	rush
ASHENVALE	nmr5	SATYR_SHADOWDANCER	DARK_TROLL_BERSERKER	DARK_TROLL_SHADOW_PRIEST	GIANT_WOLF	DARK_TROLL_SHADOW_PRIEST	SATYR_SHADOWDANCER	GIANT_WOLF	DARK_TROLL_BERSERKER	SATYR_SHADOWDANCER	GIANT_WOLF
BARRENS	nmr4	CENTAUR_OUTRUNNER	QUILLBOAR_HUNTER	CENTAUR_ARCHER	HARPY_WINDWITCH	0	HARPY_WINDWITCH	CENTAUR_OUTRUNNER	CENTAUR_ARCHER	QUILLBOAR_HUNTER	CENTAUR_OUTRUNNER
BLACK_CITADEL	nmrf	BLOODFIEND	DRAENEI_DISCIPLE	VOIDWALKER	SKEL_ORC_GRUNT	DRAENEI_DISCIPLE	VOIDWALKER	SKEL_ORC_GRUNT	VOIDWALKER	VOIDWALKER	BLOODFIEND
CITYSCAPE	nmr8	ROGUE	ASSASSIN	KOBOLD_GEOMANCER	FOREST_TROLL_HIGH_PRIEST	FOREST_TROLL_HIGH_PRIEST	KOBOLD_GEOMANCER	ROGUE	ASSASSIN	ASSASSIN	ROGUE
DALARAN	nmr9	ROGUE	ASSASSIN	KOBOLD_GEOMANCER	FOREST_TROLL_HIGH_PRIEST	FOREST_TROLL_HIGH_PRIEST	KOBOLD_GEOMANCER	ROGUE	ASSASSIN	ASSASSIN	ROGUE
UNDERGROUND	nmrb	BURNING_ARCHER	KOBOLD_GEOMANCER	WILDKIN	FROST_REVENANT	0	KOBOLD_GEOMANCER	WILDKIN	BURNING_ARCHER	FROST_REVENANT	WILDKIN
FELWOOD	nmr6	MURLOC_FLESHEATER	SLUDGE_MONS	SATYR_SHADOWDANCER	SPITTING_SPIDER	0	SATYR_SHADOWDANCER	MURLOC_FLESHEATER	SPITTING_SPIDER	SLUDGE_MONS	MURLOC_FLESHEATER
ICECROWN_GLACIER	nmrd	ICE_TROLL_BERSERKER	BLUE_DRAGONSPAWN_WARRIOR	TUSKARR_HEALER	UNBROKEN_DARKWEAVER	TUSKARR_HEALER	UNBROKEN_DARKWEAVER	BLUE_DRAGONSPAWN_WARRIOR	ICE_TROLL_BERSERKER	UNBROKEN_DARKWEAVER	BLUE_DRAGONSPAWN_WARRIOR
LORDERON_FALL	nmr2	GNOLL_BRUTE	GNOLL_WARDEN	OGRE_MAGI	MUD_GOLEM	0	OGRE_MAGI	GNOLL_BRUTE	GNOLL_WARDEN	MUD_GOLEM	GNOLL_BRUTE
LORDERON_SUMMER	nmer	FOREST_TROLL_BERSERKER	FOREST_TROLL_SHADOW_PRIEST	OGRE_MAULER	MUD_GOLEM	FOREST_TROLL_SHADOW_PRIEST	MUD_GOLEM	OGRE_MAULER	FOREST_TROLL_BERSERKER	MUD_GOLEM	OGRE_MAULER
LORDERON_WINTER	nmr3	OGRE_MAULER	ICE_TROLL_BERSERKER	ICE_TROLL_PRIEST	MUD_GOLEM	ICE_TROLL_PRIEST	MUD_GOLEM	OGRE_MAULER	ICE_TROLL_BERSERKER	MUD_GOLEM	OGRE_MAULER
NORTHREND	nmr7	NERUBIAN_WARRIOR	ICE_TROLL_BERSERKER	FROST_REVENANT	NERUBIAN_SEER	0	NERUBIAN_SEER	NERUBIAN_WARRIOR	ICE_TROLL_BERSERKER	FROST_REVENANT	NERUBIAN_WARRIOR
OUTLAND	nmre	BLOODFIEND	DRAENEI_DISCIPLE	VOIDWALKER	SKEL_ORC_GRUNT	DRAENEI_DISCIPLE	VOIDWALKER	SKEL_ORC_GRUNT	VOIDWALKER	VOIDWALKER	BLOODFIEND
SUNKEN_RUINS	nmrc	MURGUL_SNARECASTER	MURGUL_BLOODGILL	STORMREAVER_HERMIT	SKEL_ORC_GRUNT	MURGUL_BLOODGILL	MURGUL_SNARECASTER	SKEL_ORC_GRUNT	STORMREAVER_HERMIT	MURGUL_SNARECASTER	MURGUL_BLOODGILL
DUNGEON	nmra	BURNING_ARCHER	KOBOLD_GEOMANCER	WILDKIN	FROST_REVENANT	0	KOBOLD_GEOMANCER	WILDKIN	BURNING_ARCHER	FROST_REVENANT	WILDKIN
VILLAGE	nmr0	KOBOLD_TUNNELER	KOBOLD_TASKMASTER	ASSASSIN	KOBOLD_GEOMANCER	0	KOBOLD_GEOMANCER	KOBOLD_TASKMASTER	ASSASSIN	KOBOLD_TUNNELER	KOBOLD_TUNNELER
