Level 1 Spell	Level 2 Spell	Level 3 Spell	Level 4 Spell	Level 5 Spell	Level 6 Spell	Level 7 Spell	Level 8 Spell	Level 9 Spell	Level 10 Spell
CRITICAL_STRIKE	WIND_WALK	WIND_WALK	CRITICAL_STRIKE	CRITICAL_STRIKE	BLADE_STORM	WIND_WALK	MIRROR_IMAGE	MIRROR_IMAGE	MIRROR_IMAGE
WIND_WALK	CRITICAL_STRIKE	WIND_WALK	CRITICAL_STRIKE	WIND_WALK	BLADE_STORM	CRITICAL_STRIKE	MIRROR_IMAGE	MIRROR_IMAGE	MIRROR_IMAGE
MIRROR_IMAGE	CRITICAL_STRIKE	MIRROR_IMAGE	WIND_WALK	MIRROR_IMAGE	BLADE_STORM	CRITICAL_STRIKE	CRITICAL_STRIKE	WIND_WALK	WIND_WALK
MIRROR_IMAGE	WIND_WALK	MIRROR_IMAGE	CRITICAL_STRIKE	MIRROR_IMAGE	BLADE_STORM	CRITICAL_STRIKE	WIND_WALK	CRITICAL_STRIKE	WIND_WALK
WIND_WALK	CRITICAL_STRIKE	WIND_WALK	CRITICAL_STRIKE	WIND_WALK	BLADE_STORM	CRITICAL_STRIKE	MIRROR_IMAGE	MIRROR_IMAGE	MIRROR_IMAGE
CRITICAL_STRIKE	WIND_WALK	CRITICAL_STRIKE	WIND_WALK	CRITICAL_STRIKE	BLADE_STORM	WIND_WALK	MIRROR_IMAGE	MIRROR_IMAGE	MIRROR_IMAGE
CRITICAL_STRIKE	WIND_WALK	WIND_WALK	CRITICAL_STRIKE	CRITICAL_STRIKE	BLADE_STORM	WIND_WALK	MIRROR_IMAGE	MIRROR_IMAGE	MIRROR_IMAGE
WIND_WALK	CRITICAL_STRIKE	WIND_WALK	CRITICAL_STRIKE	WIND_WALK	BLADE_STORM	CRITICAL_STRIKE	MIRROR_IMAGE	MIRROR_IMAGE	MIRROR_IMAGE
CRITICAL_STRIKE	WIND_WALK	CRITICAL_STRIKE	WIND_WALK	CRITICAL_STRIKE	BLADE_STORM	WIND_WALK	MIRROR_IMAGE	MIRROR_IMAGE	MIRROR_IMAGE
SPIRIT_WOLF	CHAIN_LIGHTNING	SPIRIT_WOLF	CHAIN_LIGHTNING	CHAIN_LIGHTNING	EARTHQUAKE	SPIRIT_WOLF	FAR_SIGHT	FAR_SIGHT	FAR_SIGHT
SPIRIT_WOLF	CHAIN_LIGHTNING	SPIRIT_WOLF	CHAIN_LIGHTNING	CHAIN_LIGHTNING	EARTHQUAKE	SPIRIT_WOLF	FAR_SIGHT	FAR_SIGHT	FAR_SIGHT
CHAIN_LIGHTNING	SPIRIT_WOLF	CHAIN_LIGHTNING	SPIRIT_WOLF	CHAIN_LIGHTNING	EARTHQUAKE	SPIRIT_WOLF	FAR_SIGHT	FAR_SIGHT	FAR_SIGHT
SPIRIT_WOLF	CHAIN_LIGHTNING	SPIRIT_WOLF	CHAIN_LIGHTNING	CHAIN_LIGHTNING	EARTHQUAKE	SPIRIT_WOLF	FAR_SIGHT	FAR_SIGHT	FAR_SIGHT
CHAIN_LIGHTNING	SPIRIT_WOLF	SPIRIT_WOLF	CHAIN_LIGHTNING	CHAIN_LIGHTNING	EARTHQUAKE	SPIRIT_WOLF	FAR_SIGHT	FAR_SIGHT	FAR_SIGHT
SPIRIT_WOLF	CHAIN_LIGHTNING	CHAIN_LIGHTNING	SPIRIT_WOLF	SPIRIT_WOLF	EARTHQUAKE	CHAIN_LIGHTNING	FAR_SIGHT	FAR_SIGHT	FAR_SIGHT
SPIRIT_WOLF	CHAIN_LIGHTNING	SPIRIT_WOLF	CHAIN_LIGHTNING	SPIRIT_WOLF	EARTHQUAKE	CHAIN_LIGHTNING	FAR_SIGHT	FAR_SIGHT	FAR_SIGHT
CHAIN_LIGHTNING	SPIRIT_WOLF	CHAIN_LIGHTNING	SPIRIT_WOLF	CHAIN_LIGHTNING	EARTHQUAKE	SPIRIT_WOLF	FAR_SIGHT	FAR_SIGHT	FAR_SIGHT
