Hero	base rp	ally bonus	random enemy bonus	ELF enemy bonus	HUMAN enemy bonus	ORC enemy bonus	UNDEAD enemy bonus	ELF ally bonus	HUMAN ally bonus	ORC ally bonus	UNDEAD ally bonus	first hero bonus	second hero bonus	third hero bonus
NAGA_SORCERESS	20	0	0	0	0	0	0	0	0	0	0	-15	5	0
BEAST_MASTER	15	0	0	0	0	0	0	0	0	0	0	-4	-8	-12
DARK_RANGER 	19	0	0	0	0	0	0	0	0	0	0	-14	-5	0
NEUTRAL_PIT_LORD 	8	0	0	0	0	0	0	0	0	0	0	-8	-2	2
BREW_MASTER 	12	0	0	0	0	0	0	0	0	0	0	-9	3	6
GOBLIN_TINKER	3	0	0	0	0	0	0	0	0	0	0	-4	-1	0
FIRELORD	19	0	0	0	0	0	0	0	0	0	0	-14	-5	0
ALCHEMIST	3	0	0	0	0	0	0	0	0	0	0	-3	-1	0
BLADE_MASTER	87	0	0	5	5	5	5	0	0	0	0	0	-28	0
FAR_SEER	84	0	0	10	10	10	10	0	0	0	0	22	-28	0
TAUREN_CHIEF	66	0	0	10	5	0	5	0	0	0	0	-22	10	0
SHADOW_HUNTER	66	0	0	5	5	10	5	0	0	0	0	-22	12	0
