Level 1 Spell	Level 2 Spell	Level 3 Spell	Level 4 Spell	Level 5 Spell	Level 6 Spell	Level 7 Spell	Level 8 Spell	Level 9 Spell	Level 10 Spell
WATER_ELEMENTAL	BRILLIANCE_AURA	WATER_ELEMENTAL	BRILLIANCE_AURA	WATER_ELEMENTAL	MASS_TELEPORT	BRILLIANCE_AURA	BLIZZARD	BLIZZARD	BLIZZARD
WATER_ELEMENTAL	BRILLIANCE_AURA	WATER_ELEMENTAL	BRILLIANCE_AURA	WATER_ELEMENTAL	MASS_TELEPORT	BRILLIANCE_AURA	BLIZZARD	BLIZZARD	BLIZZARD
BLIZZARD	BRILLIANCE_AURA	BLIZZARD	BRILLIANCE_AURA	BLIZZARD	MASS_TELEPORT	BRILLIANCE_AURA	WATER_ELEMENTAL	WATER_ELEMENTAL	WATER_ELEMENTAL
WATER_ELEMENTAL	BRILLIANCE_AURA	BRILLIANCE_AURA	WATER_ELEMENTAL	BRILLIANCE_AURA	MASS_TELEPORT	WATER_ELEMENTAL	BLIZZARD	BLIZZARD	BLIZZARD
BLIZZARD	BRILLIANCE_AURA	BLIZZARD	BRILLIANCE_AURA	BLIZZARD	MASS_TELEPORT	BRILLIANCE_AURA	WATER_ELEMENTAL	WATER_ELEMENTAL	WATER_ELEMENTAL
BLIZZARD	BRILLIANCE_AURA	BRILLIANCE_AURA	BLIZZARD	BRILLIANCE_AURA	MASS_TELEPORT	BLIZZARD	WATER_ELEMENTAL	WATER_ELEMENTAL	WATER_ELEMENTAL
BRILLIANCE_AURA	BLIZZARD	BRILLIANCE_AURA	BLIZZARD	BRILLIANCE_AURA	MASS_TELEPORT	BLIZZARD	WATER_ELEMENTAL	WATER_ELEMENTAL	WATER_ELEMENTAL
BLIZZARD	BRILLIANCE_AURA	BRILLIANCE_AURA	BLIZZARD	BRILLIANCE_AURA	MASS_TELEPORT	BLIZZARD	WATER_ELEMENTAL	WATER_ELEMENTAL	WATER_ELEMENTAL
BRILLIANCE_AURA	BLIZZARD	BRILLIANCE_AURA	BLIZZARD	BRILLIANCE_AURA	MASS_TELEPORT	BLIZZARD	WATER_ELEMENTAL	WATER_ELEMENTAL	WATER_ELEMENTAL
THUNDER_BOLT	THUNDER_CLAP	THUNDER_BOLT	THUNDER_CLAP	THUNDER_BOLT	AVATAR	THUNDER_CLAP	BASH	BASH	BASH
THUNDER_BOLT	BASH	THUNDER_BOLT	THUNDER_CLAP	THUNDER_BOLT	AVATAR	THUNDER_CLAP	THUNDER_CLAP	BASH	BASH
THUNDER_BOLT	BASH	THUNDER_CLAP	THUNDER_BOLT	THUNDER_BOLT	AVATAR	THUNDER_CLAP	THUNDER_CLAP	BASH	BASH
THUNDER_BOLT	BASH	THUNDER_BOLT	THUNDER_CLAP	THUNDER_BOLT	AVATAR	THUNDER_CLAP	THUNDER_CLAP	BASH	BASH
THUNDER_BOLT	THUNDER_CLAP	THUNDER_BOLT	BASH	THUNDER_BOLT	AVATAR	THUNDER_CLAP	THUNDER_CLAP	BASH	BASH
THUNDER_BOLT	THUNDER_CLAP	THUNDER_BOLT	THUNDER_CLAP	THUNDER_BOLT	AVATAR	THUNDER_CLAP	BASH	BASH	BASH
THUNDER_BOLT	BASH	THUNDER_BOLT	THUNDER_CLAP	THUNDER_BOLT	AVATAR	BASH	BASH	THUNDER_CLAP	THUNDER_CLAP
THUNDER_BOLT	THUNDER_CLAP	THUNDER_BOLT	BASH	THUNDER_BOLT	AVATAR	BASH	BASH	THUNDER_CLAP	THUNDER_CLAP
THUNDER_BOLT	THUNDER_CLAP	THUNDER_BOLT	THUNDER_CLAP	THUNDER_BOLT	AVATAR	THUNDER_CLAP	BASH	BASH	BASH
HOLY_BOLT	DIVINE_SHIELD	HOLY_BOLT	DIVINE_SHIELD	HOLY_BOLT	RESURRECTION	DIVINE_SHIELD	DEVOTION_AURA	DEVOTION_AURA	DEVOTION_AURA
HOLY_BOLT	DIVINE_SHIELD	HOLY_BOLT	DEVOTION_AURA	HOLY_BOLT	RESURRECTION	DIVINE_SHIELD	DIVINE_SHIELD	DEVOTION_AURA	DEVOTION_AURA
HOLY_BOLT	DIVINE_SHIELD	HOLY_BOLT	DEVOTION_AURA	DEVOTION_AURA	RESURRECTION	DEVOTION_AURA	DIVINE_SHIELD	DIVINE_SHIELD	HOLY_BOLT
HOLY_BOLT	DIVINE_SHIELD	HOLY_BOLT	DEVOTION_AURA	HOLY_BOLT	RESURRECTION	DEVOTION_AURA	DEVOTION_AURA	DIVINE_SHIELD	DIVINE_SHIELD
HOLY_BOLT	DIVINE_SHIELD	HOLY_BOLT	DIVINE_SHIELD	HOLY_BOLT	RESURRECTION	DEVOTION_AURA	DEVOTION_AURA	DEVOTION_AURA	DIVINE_SHIELD
HOLY_BOLT	DIVINE_SHIELD	HOLY_BOLT	DEVOTION_AURA	DEVOTION_AURA	RESURRECTION	DEVOTION_AURA	DIVINE_SHIELD	DIVINE_SHIELD	HOLY_BOLT
DIVINE_SHIELD	DEVOTION_AURA	HOLY_BOLT	DEVOTION_AURA	HOLY_BOLT	RESURRECTION	DEVOTION_AURA	HOLY_BOLT	DIVINE_SHIELD	DIVINE_SHIELD
DIVINE_SHIELD	HOLY_BOLT	HOLY_BOLT	DEVOTION_AURA	DEVOTION_AURA	RESURRECTION	DEVOTION_AURA	DIVINE_SHIELD	DIVINE_SHIELD	HOLY_BOLT
DIVINE_SHIELD	HOLY_BOLT	HOLY_BOLT	DIVINE_SHIELD	HOLY_BOLT	RESURRECTION	DEVOTION_AURA	DEVOTION_AURA	DEVOTION_AURA	DIVINE_SHIELD
