Profile Name	Race	Aggression	Uncertainty	Minimum Attack Strength	Build Farm at left food	first expansion time	second expansion time	strategy persistence	influences number of factories built	Taunt Rate	Expansion Target Bonus	Hard coded AI target bonus	Hard coded AI target rate	Surrender Value	Favorite ELF Hero	Favorite HUMAN Hero	Favorite ORC Hero	Favorite UNDEAD Hero	Favorite Neutral Hero	Favorite ELF Unit	Favorite HUMAN Unit	Favorite ORC Unit	Favorite UNDEAD Unit	Rare Profile
Hunter	RANDOM	-10	10	7	8	6	18	1000	1.35	1	7	5	0.5	1	MOON_CHICK	PALADIN	FAR_SEER	DREAD_LORD	0	HUNTRESS	GRYPHON	GRUNT	GHOUL	0
Crazy_Rusher	RANDOM	5	5	6	7	7	12	800	1.3	1	8	4	0.4	1	DEMON_HUNTER	MTN_KING	FAR_SEER	DEATH_KNIGHT	0	ARCHER	KNIGHT	GRUNT	GHOUL	0
Crusher	RANDOM	-6	7	7	9	6	12	900	1.35	1	12	6	0.6	1	DEMON_HUNTER	ARCHMAGE	BLADE_MASTER	DREAD_LORD	0	HUNTRESS	KNIGHT	WYVERN	GHOUL	0
Zmasher	RANDOM	-8	8	8	8	6	12	850	1.35	1	5	4	0.4	1	MOON_CHICK	ARCHMAGE	FAR_SEER	LICH	0	HUNTRESS	GRYPHON	GRUNT	CRYPT_FIEND	0
Aggressario	RANDOM	-2	6	8	9	7	15	1000	1.35	1	12	7	0.3	1	KEEPER	ARCHMAGE	TAUREN_CHIEF	DEATH_KNIGHT	0	HUNTRESS	RIFLEMAN	GRUNT	GHOUL	0
chick3n	RANDOM	-15	4	7	10	7	16	1050	1.3	1	3	3	0.8	1	DEMON_HUNTER	MTN_KING	FAR_SEER	DREAD_LORD	0	ARCHER	MORTAR	GRUNT	GHOUL	0
CPU	RANDOM	-9	5	7	9	64	180	850	1.35	1	8	6	0.5	1	DEMON_HUNTER	ARCHMAGE	BLADE_MASTER	DREAD_LORD	0	HUNTRESS	KNIGHT	GRUNT	GHOUL	0
ErRoR	RANDOM	-10	7	8	8	7	13	900	1.4	1	7	7	0.6	1	MOON_CHICK	ARCHMAGE	FAR_SEER	DEATH_KNIGHT	0	HUNTRESS	GRYPHON	CATAPULT	CRYPT_FIEND	0
RomuLus	RANDOM	-11	4	7	7	6	12	750	1.35	1	7	3	0.5	1	KEEPER	MTN_KING	FAR_SEER	LICH	0	HUNTRESS	KNIGHT	WYVERN	NECRO	0
ReMus	RANDOM	-11	5	8	6	6	14	900	1.35	1	8	4	0.5	1	DEMON_HUNTER	ARCHMAGE	FAR_SEER	DEATH_KNIGHT	0	DRYAD	RIFLEMAN	TAUREN	CRYPT_FIEND	0
