Name in AI	4-letter-code	race	type	buy type	built in/by, needed1	needed2	needed3	add for counting 1	add for counting 2	attack group	available time (in seconds)	restock time (in seconds)	gold_price (items only)	wood_price (items only)	bonus hero strength	air strength	casters strength	towers strength	piercing strength	normal strength	siege strength	magic strength	unarmored strength	lightarmor strength	mediumarmor strength	heavyarmor strength
ARCHMAGE	Hamg	HUMAN	hero	HERO	HUMAN_ALTAR	KEEP	CASTLE	0	0	false	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
PALADIN	Hpal	HUMAN	hero	HERO	HUMAN_ALTAR	KEEP	CASTLE	0	0	false	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MTN_KING	Hmkg	HUMAN	hero	HERO	HUMAN_ALTAR	KEEP	CASTLE	0	0	false	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BLADE_MASTER	Obla	ORC	hero	HERO	ORC_ALTAR	STRONGHOLD	FORTRESS	0	0	false	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
FAR_SEER	Ofar	ORC	hero	HERO	ORC_ALTAR	STRONGHOLD	FORTRESS	0	0	false	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TAUREN_CHIEF	Otch	ORC	hero	HERO	ORC_ALTAR	STRONGHOLD	FORTRESS	0	0	false	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
DEATH_KNIGHT	Udea	UNDEAD	hero	HERO	UNDEAD_ALTAR	NECROPOLIS_2	NECROPOLIS_3	0	0	false	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
DREAD_LORD	Udre	UNDEAD	hero	HERO	UNDEAD_ALTAR	NECROPOLIS_2	NECROPOLIS_3	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LICH	Ulic	UNDEAD	hero	HERO	UNDEAD_ALTAR	NECROPOLIS_2	NECROPOLIS_3	0	0	false	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
DEMON_HUNTER	Edem	ELF	hero	HERO	ELF_ALTAR	TREE_AGES	TREE_ETERNITY	0	0	false	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
KEEPER	Ekee	ELF	hero	HERO	ELF_ALTAR	TREE_AGES	TREE_ETERNITY	0	0	false	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MOON_PRIESTESS	Emoo	ELF	hero	HERO	ELF_ALTAR	TREE_AGES	TREE_ETERNITY	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COPTER	hgyr	HUMAN	0	UNIT	WORKSHOP	0	0	0	0	true	0	0	0	0	0	1	0	0	1	0	0.5	0	0	0	0	0
ELEMENTAL	hwat	HUMAN	0	UNIT	ARCHMAGE	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOOTMAN	hfoo	HUMAN	0	UNIT	BARRACKS	0	0	0	0	true	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2
GRYPHON	hgry	HUMAN	0	UNIT	AVIARY	0	0	0	0	true	0	0	0	0	0	4	0	0	0	0	0	4	0	4	0	0
KNIGHT	hkni	HUMAN	0	UNIT	BARRACKS	CASTLE	BLACKSMITH	0	0	true	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4
MORTAR	hmtm	HUMAN	siege	UNIT	WORKSHOP	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3
PEASANT	hpea	HUMAN	peon	UNIT	TOWN_HALL	0	0	MILITIA	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRIEST	hmpr	HUMAN	0	UNIT	SANCTUM	0	0	0	0	true	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0
RIFLEMAN	hrif	HUMAN	0	UNIT	BARRACKS	BLACKSMITH	0	0	0	true	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0
SORCERESS	hsor	HUMAN	0	UNIT	SANCTUM	0	0	0	0	true	0	0	0	0	0	0	3	0	0	0	0	2	1	0	0	0
STEAM_TANK	hmtt	HUMAN	0	UNIT	WORKSHOP	CASTLE	0	0	0	true	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MILITIA	hmil	HUMAN	militia,mutated	UNIT	0	0	0	PEASANT	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AVIARY	hgra	HUMAN	0	BUILDING	PEASANT 	CASTLE	LUMBER_MILL	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BARRACKS	hbar	HUMAN	0	BUILDING	PEASANT 	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLACKSMITH	hbla	HUMAN	0	BUILDING	PEASANT 	TOWN_HALL	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CANNON_TOWER	hctw	HUMAN	0	BUILDING	WATCH_TOWER	WORKSHOP	UPGRADED	0	0	false	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
CASTLE	hcas	HUMAN	hall3	BUILDING	KEEP          	HUMAN_ALTAR	UPGRADED	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GUARD_TOWER	hgtw	HUMAN	0	BUILDING	WATCH_TOWER	0	0	0	0	false	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HOUSE	hhou	HUMAN	farm	BUILDING	PEASANT 	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HUMAN_ALTAR	halt	HUMAN	altar	BUILDING	PEASANT 	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KEEP	hkee	HUMAN	hall2	BUILDING	TOWN_HALL 	0	UPGRADED	CASTLE	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LUMBER_MILL	hlum	HUMAN	lumber	BUILDING	PEASANT 	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SANCTUM	hars	HUMAN	0	BUILDING	PEASANT 	KEEP	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOWN_HALL	htow	HUMAN	hall1	BUILDING	0	0	0	KEEP	CASTLE	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATCH_TOWER	hwtw	HUMAN	0	BUILDING	PEASANT 	LUMBER_MILL	UPGRADED	GUARD_TOWER	CANNON_TOWER	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WORKSHOP	harm	HUMAN	0	BUILDING	PEASANT 	KEEP	BLACKSMITH	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_SIGHT	Rhss	HUMAN	upgrade	UPGRADE	SANCTUM	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_DEFEND	Rhde	HUMAN	upgrade	UPGRADE	BARRACKS	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_HAMMERS	Rhhb	HUMAN	upgrade	UPGRADE	AVIARY	CASTLE	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_BREEDING	Rhan	HUMAN	upgrade	UPGRADE	BARRACKS	CASTLE	BLACKSMITH	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_GUN_RANGE	Rhri	HUMAN	upgrade	UPGRADE	BARRACKS	WORKSHOP	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_SENTINEL	Rhse	HUMAN	upgrade	UPGRADE	WORKSHOP	KEEP	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_BOMBS	Rhgb	HUMAN	upgrade	UPGRADE	WORKSHOP	CASTLE	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CATAPULT	ocat	ORC	siege	UNIT	ORC_BARRACKS	STRONGHOLD	FORGE	0	0	true	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3
WITCH_DOCTOR	odoc	ORC	0	UNIT	LODGE	0	0	0	0	true	0	0	0	0	0	0	3	0	0	0	0	2	1	0	0	0
GRUNT	ogru	ORC	0	UNIT	ORC_BARRACKS	0	0	0	0	true	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3
HEAD_HUNTER	ohun	ORC	0	UNIT	ORC_BARRACKS	FORGE	0	0	0	true	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0
KODO_BEAST	okod	ORC	0	UNIT	BESTIARY	FORGE	0	0	0	true	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0
PEON	opeo	ORC	peon	UNIT	GREAT_HALL	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAIDER	orai	ORC	0	UNIT	BESTIARY	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	2	0
SHAMAN	oshm	ORC	0	UNIT	LODGE	0	0	0	0	true	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0
TAUREN	otau	ORC	0	UNIT	TOTEM	0	0	0	0	true	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5
WYVERN	owyv	ORC	0	UNIT	BESTIARY	FORTRESS	0	0	0	true	0	0	0	0	0	3	0	0	4	0	0	0	0	3	0	0
ORC_ALTAR	oalt	ORC	altar	BUILDING	PEON	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORC_BARRACKS	obar	ORC	0	BUILDING	PEON	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BESTIARY	obea	ORC	0	BUILDING	PEON	STRONGHOLD	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FORGE	ofor	ORC	lumber	BUILDING	PEON	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FORTRESS	ofrt	ORC	hall3	BUILDING	STRONGHOLD	ORC_ALTAR	UPGRADED	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GREAT_HALL	ogre	ORC	hall1	BUILDING	0	0	0	STRONGHOLD	FORTRESS	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LODGE	osld	ORC	0	BUILDING	PEON	STRONGHOLD	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STRONGHOLD	ostr	ORC	hall2	BUILDING	GREAT_HALL	0	UPGRADED	FORTRESS	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BURROW	otrb	ORC	farm	BUILDING	PEON	0	0	0	0	false	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0
TOTEM	otto	ORC	0	BUILDING	PEON	FORTRESS	FORGE	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORC_WATCH_TOWER	owtw	ORC	0	BUILDING	PEON	FORGE	0	0	0	false	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
UPG_ORC_WAR_DRUMS	Rwdm	ORC	upgrade	UPGRADE	BESTIARY	FORTRESS	FORGE	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_ORC_PILLAGE	Ropg	ORC	upgrade	UPGRADE	GREAT_HALL	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_ORC_BERSERK	Robs	ORC	upgrade	UPGRADE	ORC_BARRACKS	STRONGHOLD	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_ORC_PULVERIZE	Rows	ORC	upgrade	UPGRADE	TOTEM	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_ORC_ENSNARE	Roen	ORC	upgrade	UPGRADE	BESTIARY	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
