Level 1 Spell	Level 2 Spell	Level 3 Spell	Level 4 Spell	Level 5 Spell	Level 6 Spell	Level 7 Spell	Level 8 Spell	Level 9 Spell	Level 10 Spell
MANA_BURN	EVASION	MANA_BURN	EVASION	MANA_BURN	METAMORPHOSIS	EVASION	IMMOLATION	IMMOLATION	IMMOLATION
MANA_BURN	IMMOLATION	MANA_BURN	EVASION	MANA_BURN	METAMORPHOSIS	EVASION	EVASION	IMMOLATION	IMMOLATION
MANA_BURN	EVASION	MANA_BURN	EVASION	MANA_BURN	METAMORPHOSIS	EVASION	IMMOLATION	IMMOLATION	IMMOLATION
IMMOLATION	MANA_BURN	MANA_BURN	EVASION	MANA_BURN	METAMORPHOSIS	EVASION	EVASION	IMMOLATION	IMMOLATION
MANA_BURN	EVASION	MANA_BURN	EVASION	MANA_BURN	METAMORPHOSIS	EVASION	IMMOLATION	IMMOLATION	IMMOLATION
IMMOLATION	MANA_BURN	MANA_BURN	EVASION	MANA_BURN	METAMORPHOSIS	EVASION	EVASION	IMMOLATION	IMMOLATION
IMMOLATION	EVASION	EVASION	MANA_BURN	MANA_BURN	METAMORPHOSIS	MANA_BURN	EVASION	IMMOLATION	IMMOLATION
MANA_BURN	EVASION	MANA_BURN	EVASION	MANA_BURN	METAMORPHOSIS	EVASION	IMMOLATION	IMMOLATION	IMMOLATION
MANA_BURN	EVASION	MANA_BURN	EVASION	MANA_BURN	METAMORPHOSIS	EVASION	IMMOLATION	IMMOLATION	IMMOLATION
ENT_ROOTS	THORNS_AURA	ENT_ROOTS	FORCE_NATURE	ENT_ROOTS	TRANQUILITY	FORCE_NATURE	FORCE_NATURE	THORNS_AURA	THORNS_AURA
FORCE_NATURE	ENT_ROOTS	ENT_ROOTS	THORNS_AURA	ENT_ROOTS	TRANQUILITY	THORNS_AURA	THORNS_AURA	FORCE_NATURE	FORCE_NATURE
FORCE_NATURE	ENT_ROOTS	FORCE_NATURE	ENT_ROOTS	FORCE_NATURE	TRANQUILITY	ENT_ROOTS	THORNS_AURA	THORNS_AURA	THORNS_AURA
ENT_ROOTS	THORNS_AURA	ENT_ROOTS	THORNS_AURA	ENT_ROOTS	TRANQUILITY	THORNS_AURA	FORCE_NATURE	FORCE_NATURE	FORCE_NATURE
THORNS_AURA	ENT_ROOTS	ENT_ROOTS	THORNS_AURA	ENT_ROOTS	TRANQUILITY	THORNS_AURA	FORCE_NATURE	FORCE_NATURE	FORCE_NATURE
THORNS_AURA	ENT_ROOTS	ENT_ROOTS	THORNS_AURA	ENT_ROOTS	TRANQUILITY	THORNS_AURA	FORCE_NATURE	FORCE_NATURE	FORCE_NATURE
ENT_ROOTS	THORNS_AURA	ENT_ROOTS	THORNS_AURA	ENT_ROOTS	TRANQUILITY	THORNS_AURA	FORCE_NATURE	FORCE_NATURE	FORCE_NATURE
THORNS_AURA	ENT_ROOTS	ENT_ROOTS	THORNS_AURA	ENT_ROOTS	TRANQUILITY	THORNS_AURA	FORCE_NATURE	FORCE_NATURE	FORCE_NATURE
ENT_ROOTS	THORNS_AURA	ENT_ROOTS	THORNS_AURA	ENT_ROOTS	TRANQUILITY	THORNS_AURA	FORCE_NATURE	FORCE_NATURE	FORCE_NATURE
SEARING_ARROWS	TRUESHOT	SEARING_ARROWS	TRUESHOT	SEARING_ARROWS	STARFALL	TRUESHOT	SCOUT	SCOUT	SCOUT
