Hero	base rp	ally bonus	random enemy bonus	ELF enemy bonus	HUMAN enemy bonus	ORC enemy bonus	UNDEAD enemy bonus	ELF ally bonus	HUMAN ally bonus	ORC ally bonus	UNDEAD ally bonus	first hero bonus	second hero bonus	third hero bonus
NAGA_SORCERESS	20	0	0	5	5	0	0	0	0	0	0	-10	10	0
BEAST_MASTER	15	0	0	0	0	10	0	0	0	0	0	0	-4	-8
DARK_RANGER	19	0	0	0	0	0	10	0	0	0	0	-5	0	0
NEUTRAL_PIT_LORD	8	0	0	0	0	0	0	0	0	0	-8	-2	0	0
BREW_MASTER	12	0	0	0	5	0	5	0	0	0	0	-6	6	9
GOBLIN_TINKER	4	0	0	0	0	5	0	0	0	0	0	-1	0	0
FIRELORD	19	0	0	0	0	5	0	0	0	0	0	-10	0	0
ALCHEMIST	3	0	0	0	0	0	0	0	0	0	0	-3	-1	0
DEMON_HUNTER	37	0	0	10	10	10	10	0	0	0	0	9	0	-28
KEEPER	23	0	0	5	0	0	0	0	0	0	0	0	0	0
MOON_PRIESTESS	25	0	0	10	0	0	0	0	0	0	0	0	0	0
WARDEN	15	0	0	0	0	0	0	0	0	0	0	0	0	0
