Hero	base rp	ally bonus	random enemy bonus	ELF enemy bonus	HUMAN enemy bonus	ORC enemy bonus	UNDEAD enemy bonus	ELF ally bonus	HUMAN ally bonus	ORC ally bonus	UNDEAD ally bonus	first hero bonus	second hero bonus	third hero bonus
NAGA_SORCERESS	20	0	0	10	0	0	0	0	0	0	0	-15	5	0
BEAST_MASTER	15	0	0	0	0	10	0	0	0	0	0	-4	-8	-12
DARK_RANGER 	19	0	0	0	0	0	0	0	0	0	0	-14	-5	0
NEUTRAL_PIT_LORD 	8	0	0	0	0	0	0	0	0	0	0	-8	-2	2
BREW_MASTER 	12	0	0	0	0	0	0	0	0	0	0	-9	3	6
GOBLIN_TINKER	4	0	0	0	0	0	0	0	0	0	0	-4	-1	0
FIRELORD	19	0	0	0	0	0	0	0	0	0	0	-14	-5	0
ALCHEMIST	3	0	0	0	0	0	0	0	0	0	0	-3	-1	0
ARCHMAGE	41	0	0	10	10	10	10	0	0	0	0	10	0	0
MTN_KING	30	0	0	10	0	10	10	0	0	0	0	0	0	0
PALADIN	18	0	0	0	0	0	10	0	0	0	0	-18	0	18
BLOOD_MAGE	11	10	0	0	0	0	0	0	0	0	0	-11	0	0
