TileSet	CampID	Merc1	Merc2	Merc3	Merc4	healer	caster	melee	range	stopper	rush
ASHENVALE	nmr5	SATYR_SHADOWDANCER	FURBOLG_SHAMAN	THUNDER_LIZARD	0	FURBOLG_SHAMAN	SATYR_SHADOWDANCER	0	THUNDER_LIZARD	THUNDER_LIZARD	0
BARRENS	nmr4	CENTAUR_OUTRUNNER	HARPY_ROGUE	RAZORMANE_MEDICINE_MAN	HARPY_WINDWITCH	RAZORMANE_MEDICINE_MAN	HARPY_WINDWITCH	CENTAUR_OUTRUNNER	HARPY_ROGUE	0	CENTAUR_OUTRUNNER
BLACK_CITADEL	nmrf	FEL_BEAST	DRAENEI_DISCIPLE	VOIDWALKER	DRAENEI_DARKSLAYER	DRAENEI_DISCIPLE	VOIDWALKER	DRAENEI_DARKSLAYER	VOIDWALKER	0	FEL_BEAST
CITYSCAPE	nmr8	ROGUE	ASSASSIN	KOBOLD_GEOMANCER	FOREST_TROLL_HIGH_PRIEST	FOREST_TROLL_HIGH_PRIEST	KOBOLD_GEOMANCER	ROGUE	ASSASSIN	0	0
DALARAN	nmr9	ROGUE	ASSASSIN	KOBOLD_GEOMANCER	FOREST_TROLL_HIGH_PRIEST	FOREST_TROLL_HIGH_PRIEST	KOBOLD_GEOMANCER	ROGUE	ASSASSIN	0	0
UNDERGROUND	nmrb	BURNING_ARCHER	KOBOLD_GEOMANCER	WILDKIN	0	0	KOBOLD_GEOMANCER	WILDKIN	BURNING_ARCHER	0	BURNING_ARCHER
FELWOOD	nmr6	MURLOC_FLESHEATER	SLUDGE_FLINGER	SATYR_SOULSTEALER	0	0	SATYR_SOULSTEALER	MURLOC_FLESHEATER	SLUDGE_FLINGER	0	MURLOC_FLESHEATER
ICECROWN_GLACIER	nmrd	BARBED_ARACHNATHID	BLUE_DRAGONSPAWN_MEDDLER	MAGNATAUR_WARRIOR	POLAR_FURBOLG_SHAMAN	0	POLAR_FURBOLG_SHAMAN	MAGNATAUR_WARRIOR	0	0	BARBED_ARACHNATHID
LORDERON_FALL	nmr2	GNOLL_BRUTE	GNOLL_WARDEN	OGRE_MAGI	MUD_GOLEM	0	OGRE_MAGI	GNOLL_BRUTE	GNOLL_WARDEN	0	GNOLL_BRUTE
LORDERON_SUMMER	nmer	FOREST_TROLL_BERSERKER	FOREST_TROLL_SHADOW_PRIEST	OGRE_MAULER	MUD_GOLEM	FOREST_TROLL_SHADOW_PRIEST	MUD_GOLEM	OGRE_MAULER	FOREST_TROLL_BERSERKER	0	0
LORDERON_WINTER	nmr3	GNOLL_OVERSEER	ICE_TROLL_BERSERKER	ICE_TROLL_TRAPPER	MUD_GOLEM	0	MUD_GOLEM	GNOLL_OVERSEER	ICE_TROLL_BERSERKER	ICE_TROLL_TRAPPER	0
NORTHREND	nmr7	NERUBIAN_WARRIOR	ICE_TROLL_BERSERKER	FROST_REVENANT	NERUBIAN_WEBSPINNER	0	FROST_REVENANT	NERUBIAN_WARRIOR	ICE_TROLL_BERSERKER	NERUBIAN_WEBSPINNER	NERUBIAN_WARRIOR
OUTLAND	nmre	FEL_BEAST	DRAENEI_DISCIPLE	VOIDWALKER	DRAENEI_DARKSLAYER	DRAENEI_DISCIPLE	VOIDWALKER	DRAENEI_DARKSLAYER	VOIDWALKER	0	FEL_BEAST
SUNKEN_RUINS	nmrc	MURGUL_SNARECASTER	MAKRURA_SNAPPER	MAKRURA_DEEPSEER	GIANT_SEA_TURTLE	0	MAKRURA_DEEPSEER	MAKRURA_SNAPPER	GIANT_SEA_TURTLE	0	GIANT_SEA_TURTLE
DUNGEON	nmra	BURNING_ARCHER	KOBOLD_GEOMANCER	WILDKIN	0	0	KOBOLD_GEOMANCER	WILDKIN	BURNING_ARCHER	0	BURNING_ARCHER
VILLAGE	nmr0	KOBOLD	MURLOC_HUNTSMAN	ASSASSIN	KOBOLD_GEOMANCER	0	KOBOLD_GEOMANCER	KOBOLD	ASSASSIN	MURLOC_HUNTSMAN	KOBOLD
