Level 1 Spell	Level 2 Spell	Level 3 Spell	Level 4 Spell	Level 5 Spell	Level 6 Spell	Level 7 Spell	Level 8 Spell	Level 9 Spell	Level 10 Spell
FROSTARROWS	FORKLIGHTNING	FORKLIGHTNING	FROSTARROWS	FORKLIGHTNING	TORNADO	FROSTARROWS	MANASHIELD	MANASHIELD	MANASHIELD
FORKLIGHTNING	FROSTARROWS	FORKLIGHTNING	FROSTARROWS	FORKLIGHTNING	TORNADO	FROSTARROWS	MANASHIELD	MANASHIELD	MANASHIELD
FROSTARROWS	FORKLIGHTNING	FROSTARROWS	FORKLIGHTNING	FROSTARROWS	TORNADO	FORKLIGHTNING	MANASHIELD	MANASHIELD	MANASHIELD
FROSTARROWS	FORKLIGHTNING	FORKLIGHTNING	FROSTARROWS	FORKLIGHTNING	TORNADO	FROSTARROWS	MANASHIELD	MANASHIELD	MANASHIELD
FORKLIGHTNING	FROSTARROWS	FORKLIGHTNING	FROSTARROWS	FORKLIGHTNING	TORNADO	FROSTARROWS	MANASHIELD	MANASHIELD	MANASHIELD
FROSTARROWS	FORKLIGHTNING	FROSTARROWS	FORKLIGHTNING	FROSTARROWS	TORNADO	FORKLIGHTNING	MANASHIELD	MANASHIELD	MANASHIELD
FORKLIGHTNING	FROSTARROWS	FORKLIGHTNING	FROSTARROWS	FORKLIGHTNING	TORNADO	FROSTARROWS	MANASHIELD	MANASHIELD	MANASHIELD
FROSTARROWS	FORKLIGHTNING	FORKLIGHTNING	FROSTARROWS	FORKLIGHTNING	TORNADO	FROSTARROWS	MANASHIELD	MANASHIELD	MANASHIELD
FROSTARROWS	FORKLIGHTNING	FROSTARROWS	FORKLIGHTNING	FROSTARROWS	TORNADO	FORKLIGHTNING	MANASHIELD	MANASHIELD	MANASHIELD
QUILBEAST	HAWK	QUILBEAST	HAWK	QUILBEAST	STAMPEDE	HAWK	BEAR	BEAR	BEAR
QUILBEAST	HAWK	HAWK	QUILBEAST	HAWK	STAMPEDE	QUILBEAST	BEAR	BEAR	BEAR
BEAR	QUILBEAST	BEAR	QUILBEAST	BEAR	STAMPEDE	QUILBEAST	HAWK	HAWK	HAWK
QUILBEAST	HAWK	QUILBEAST	HAWK	QUILBEAST	STAMPEDE	HAWK	BEAR	BEAR	BEAR
QUILBEAST	HAWK	HAWK	QUILBEAST	HAWK	STAMPEDE	QUILBEAST	BEAR	BEAR	BEAR
BEAR	QUILBEAST	BEAR	QUILBEAST	BEAR	STAMPEDE	QUILBEAST	HAWK	HAWK	HAWK
BEAR	QUILBEAST	BEAR	QUILBEAST	BEAR	STAMPEDE	QUILBEAST	HAWK	HAWK	HAWK
QUILBEAST	HAWK	HAWK	QUILBEAST	HAWK	STAMPEDE	QUILBEAST	BEAR	BEAR	BEAR
QUILBEAST	HAWK	HAWK	QUILBEAST	HAWK	STAMPEDE	QUILBEAST	BEAR	BEAR	BEAR
BLACKARROW	SILENCE	BLACKARROW	SILENCE	BLACKARROW	CHARM	SILENCE	DRAIN	DRAIN	DRAIN
BLACKARROW	SILENCE	BLACKARROW	SILENCE	BLACKARROW	CHARM	SILENCE	DRAIN	DRAIN	DRAIN
BLACKARROW	DRAIN	BLACKARROW	DRAIN	BLACKARROW	CHARM	DRAIN	SILENCE	SILENCE	SILENCE
BLACKARROW	SILENCE	BLACKARROW	SILENCE	SILENCE	CHARM	BLACKARROW	DRAIN	DRAIN	DRAIN
SILENCE	DRAIN	SILENCE	DRAIN	SILENCE	CHARM	DRAIN	BLACKARROW	BLACKARROW	BLACKARROW
BLACKARROW	DRAIN	BLACKARROW	DRAIN	BLACKARROW	CHARM	DRAIN	SILENCE	SILENCE	SILENCE
SILENCE	DRAIN	SILENCE	DRAIN	SILENCE	CHARM	DRAIN	BLACKARROW	BLACKARROW	BLACKARROW
SILENCE	DRAIN	SILENCE	DRAIN	SILENCE	CHARM	DRAIN	BLACKARROW	BLACKARROW	BLACKARROW
DRAIN	SILENCE	DRAIN	SILENCE	SILENCE	CHARM	DRAIN	BLACKARROW	BLACKARROW	BLACKARROW
HOWL	RAINOFFIRE	RAINOFFIRE	CLEAVING	RAINOFFIRE	DOOM	HOWL	CLEAVING	CLEAVING	HOWL
RAINOFFIRE	HOWL	RAINOFFIRE	CLEAVING	RAINOFFIRE	DOOM	CLEAVING	HOWL	CLEAVING	HOWL
RAINOFFIRE	CLEAVING	RAINOFFIRE	CLEAVING	RAINOFFIRE	DOOM	CLEAVING	HOWL	HOWL	HOWL
HOWL	RAINOFFIRE	RAINOFFIRE	CLEAVING	RAINOFFIRE	DOOM	CLEAVING	CLEAVING	HOWL	HOWL
RAINOFFIRE	HOWL	RAINOFFIRE	CLEAVING	RAINOFFIRE	DOOM	CLEAVING	CLEAVING	HOWL	HOWL
RAINOFFIRE	CLEAVING	RAINOFFIRE	HOWL	RAINOFFIRE	DOOM	CLEAVING	CLEAVING	HOWL	HOWL
RAINOFFIRE	HOWL	RAINOFFIRE	CLEAVING	RAINOFFIRE	DOOM	CLEAVING	HOWL	CLEAVING	HOWL
HOWL	RAINOFFIRE	RAINOFFIRE	CLEAVING	RAINOFFIRE	DOOM	CLEAVING	CLEAVING	HOWL	HOWL
RAINOFFIRE	CLEAVING	RAINOFFIRE	CLEAVING	RAINOFFIRE	DOOM	CLEAVING	HOWL	HOWL	HOWL
BOF	HAZE	BOF	HAZE	BOF	SEF	HAZE	BRAWLER	BRAWLER	BRAWLER
BOF	BRAWLER	BOF	BRAWLER	BOF	SEF	BRAWLER	HAZE	HAZE	HAZE
BOF	HAZE	BRAWLER	BRAWLER	BRAWLER	SEF	BOF	HAZE	BOF	HAZE
BOF	HAZE	BOF	HAZE	BOF	SEF	HAZE	BRAWLER	BRAWLER	BRAWLER
BOF	BRAWLER	BOF	BRAWLER	BOF	SEF	BRAWLER	HAZE	HAZE	HAZE
BOF	HAZE	BRAWLER	BRAWLER	BRAWLER	SEF	BOF	HAZE	BOF	HAZE
BOF	HAZE	BOF	HAZE	BOF	SEF	HAZE	BRAWLER	BRAWLER	BRAWLER
BOF	BRAWLER	BOF	BRAWLER	BOF	SEF	BRAWLER	HAZE	HAZE	HAZE
BOF	HAZE	BRAWLER	BRAWLER	BRAWLER	SEF	BOF	HAZE	BOF	HAZE
POCKETFACTORY	UPGRADE	POCKETFACTORY	UPGRADE	POCKETFACTORY	ROBOGOBLIN	UPGRADE	ROCKETS	ROCKETS	ROCKETS
ROCKETS	UPGRADE	ROCKETS	UPGRADE	ROCKETS	ROBOGOBLIN	UPGRADE	POCKETFACTORY	POCKETFACTORY	POCKETFACTORY
ROCKETS	POCKETFACTORY	ROCKETS	POCKETFACTORY	ROCKETS	ROBOGOBLIN	POCKETFACTORY	UPGRADE	UPGRADE	UPGRADE
ROCKETS	UPGRADE	ROCKETS	UPGRADE	ROCKETS	ROBOGOBLIN	UPGRADE	POCKETFACTORY	POCKETFACTORY	POCKETFACTORY
ROCKETS	POCKETFACTORY	ROCKETS	POCKETFACTORY	ROCKETS	ROBOGOBLIN	POCKETFACTORY	UPGRADE	UPGRADE	UPGRADE
ROCKETS	POCKETFACTORY	ROCKETS	UPGRADE	ROCKETS	ROBOGOBLIN	UPGRADE	UPGRADE	POCKETFACTORY	POCKETFACTORY
ROCKETS	UPGRADE	ROCKETS	UPGRADE	ROCKETS	ROBOGOBLIN	UPGRADE	POCKETFACTORY	POCKETFACTORY	POCKETFACTORY
ROCKETS	POCKETFACTORY	ROCKETS	POCKETFACTORY	ROCKETS	ROBOGOBLIN	POCKETFACTORY	UPGRADE	UPGRADE	UPGRADE
