Name in AI	4-letter-code	race	type	buy type	built in/by, needed1	needed2	needed3	add for counting 1	add for counting 2	attack group	available time (in seconds)	restock time (in seconds)	gold_price (items only)	wood_price (items only)	bonus hero strength	air strength	casters strength	towers strength	piercing strength	normal strength	siege strength	magic strength	unarmored strength	lightarmor strength	mediumarmor strength	heavyarmor strength
ARCHMAGE	Hamg	HUMAN	hero	HERO	HUMAN_ALTAR	KEEP	CASTLE	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PALADIN	Hpal	HUMAN	hero	HERO	HUMAN_ALTAR	KEEP	CASTLE	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTN_KING	Hmkg	HUMAN	hero	HERO	HUMAN_ALTAR	KEEP	CASTLE	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLOOD_MAGE	Hblm	HUMAN	hero	HERO	HUMAN_ALTAR	KEEP	CASTLE	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COPTER	hgyr	HUMAN	0	UNIT	WORKSHOP	0	0	0	0	true	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1
ELEMENTAL	hwat	HUMAN	0	UNIT	ARCHMAGE	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELEMENTAL2	hwt2	HUMAN	0	UNIT	ARCHMAGE	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELEMENTAL3	hwt3	HUMAN	0	UNIT	ARCHMAGE	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHOENIX	hphx	HUMAN	0	UNIT	BLOOD_MAGE	0	0	0	PHOENIXEGG	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHOENIXEGG	hpxe	HUMAN	mutated	UNIT	0	0	0	0	PHOENIX	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOOTMAN	hfoo	HUMAN	0	UNIT	BARRACKS	0	0	0	0	true	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2
