Strength	Start Time	End Time	Condition	Bonus
air	20	40	GetPlayerUnitTypeCount(p, oSTRONGHOLD) >= 1 and GetPlayerUnitTypeCount(p, oBESTIARY) >= 1	10
siege	20	40	GetPlayerUnitTypeCount(p, oSTRONGHOLD) >= 1 and GetPlayerUnitTypeCount(p, oBESTIARY) >= 1	5
piercing	0	20	GetPlayerUnitTypeCount(p, oBLACKSMITH) >= 1	5
piercing	0	20	GetPlayerUnitTypeCount(p, oGRAVEYARD) >= 1	5
piercing	0	20	GetPlayerUnitTypeCount(p, oFORGE) >= 1	5
magic	20	40	GetPlayerUnitTypeCount(p, oSANCTUM) >= 1	10
magic	20	40	GetPlayerUnitTypeCount(p, oDAMNED_TEMPLE) >= 1	10
magic	20	40	GetPlayerUnitTypeCount(p, oLODGE) >= 1	10
magic	20	40	GetPlayerUnitTypeCount(p, oANCIENT_WIND) >= 1	5
air	20	50	GetPlayerUnitTypeCount(p, oANCIENT_WIND) >= 1 and GetPlayerUnitTypeCount(p, oTREE_ETERNITY) >= 1	10
air	20	40	GetPlayerUnitTypeCount(p, oAVIARY) >= 1	10
normal	0	30	true	8
