Level 1 Spell	Level 2 Spell	Level 3 Spell	Level 4 Spell	Level 5 Spell	Level 6 Spell	Level 7 Spell	Level 8 Spell	Level 9 Spell	Level 10 Spell
DEATH_COIL	UNHOLY_AURA	DEATH_COIL	UNHOLY_AURA	DEATH_COIL	ANIM_DEAD	UNHOLY_AURA	DEATH_PACT	DEATH_PACT	DEATH_PACT
DEATH_COIL	UNHOLY_AURA	DEATH_COIL	UNHOLY_AURA	DEATH_COIL	UNHOLY_AURA	ANIM_DEAD	DEATH_PACT	DEATH_PACT	DEATH_PACT
DEATH_COIL	UNHOLY_AURA	DEATH_COIL	UNHOLY_AURA	UNHOLY_AURA	DEATH_COIL	ANIM_DEAD	DEATH_PACT	DEATH_PACT	DEATH_PACT
DEATH_COIL	DEATH_PACT	UNHOLY_AURA	DEATH_COIL	DEATH_PACT	ANIM_DEAD	DEATH_COIL	UNHOLY_AURA	UNHOLY_AURA	DEATH_PACT
DEATH_COIL	UNHOLY_AURA	DEATH_COIL	UNHOLY_AURA	DEATH_COIL	UNHOLY_AURA	ANIM_DEAD	DEATH_PACT	DEATH_PACT	DEATH_PACT
DEATH_COIL	UNHOLY_AURA	DEATH_COIL	UNHOLY_AURA	UNHOLY_AURA	DEATH_COIL	ANIM_DEAD	DEATH_PACT	DEATH_PACT	DEATH_PACT
UNHOLY_AURA	DEATH_COIL	UNHOLY_AURA	DEATH_COIL	UNHOLY_AURA	ANIM_DEAD	DEATH_COIL	DEATH_PACT	DEATH_PACT	DEATH_PACT
DEATH_COIL	UNHOLY_AURA	DEATH_COIL	UNHOLY_AURA	DEATH_COIL	ANIM_DEAD	UNHOLY_AURA	DEATH_PACT	DEATH_PACT	DEATH_PACT
UNHOLY_AURA	DEATH_PACT	UNHOLY_AURA	DEATH_COIL	UNHOLY_AURA	DEATH_COIL	ANIM_DEAD	DEATH_COIL	DEATH_PACT	DEATH_PACT
SLEEP	VAMP_AURA	VAMP_AURA	CARRION_SWARM	VAMP_AURA	INFERNO	CARRION_SWARM	CARRION_SWARM	SLEEP	SLEEP
