Hero	base rp	ally bonus	random enemy bonus	ELF enemy bonus	HUMAN enemy bonus	ORC enemy bonus	UNDEAD enemy bonus	ELF ally bonus	HUMAN ally bonus	ORC ally bonus	UNDEAD ally bonus	first hero bonus	second hero bonus	third hero bonus
NAGA_SORCERESS	20	0	0	0	0	0	0	0	0	0	0	-15	5	0
BEAST_MASTER	15	0	0	0	0	0	0	0	0	0	0	-4	-8	-12
DARK_RANGER	19	0	0	0	0	0	0	0	0	0	0	-12	-3	2
NEUTRAL_PIT_LORD	8	0	0	0	0	0	0	0	0	0	0	-6	0	4
BREW_MASTER	12	0	0	0	0	0	0	0	0	0	0	-9	3	6
GOBLIN_TINKER	4	0	0	0	0	0	0	0	0	0	0	-4	-1	0
FIRELORD	19	0	0	0	0	0	0	0	0	0	0	-14	-5	0
ALCHEMIST	3	0	0	0	0	0	0	0	0	0	0	-3	-1	0
DEATH_KNIGHT	90	0	10	10	10	10	10	0	0	0	0	22	0	0
DREAD_LORD	26	0	0	0	0	5	0	0	0	0	0	-10	0	6
LICH	56	0	0	10	10	10	30	0	0	0	0	0	14	0
CRYPT_LORD	28	0	0	0	10	5	0	0	0	0	0	-12	0	14
