Name in AI	Equivalence Type	Equivalent Unit	Upgrade ID	Upgrade Level
HEAD_HUNTER	UPGRADED_TO	BERSERKER	UPG_ORC_BERSERKER	1
BLK_SPHINX	BUILT_FROM	OBSIDIAN_STATUE	UPG_BLK_SPHINX	1
WATCH_TOWER	TC_ADD	ARCANE_TOWER	0	0
FOOTMAN	AI_COMP	FOOTMEN	0	0
RIFLEMAN	AI_COMP	RIFLEMEN	0	0
STEAM_TANK	AI_COMP	TANK	0	0
COPTER	AI_COMP	GYRO	0	0
CRYPT_FIEND	AI_COMP	PIT_FIEND	0	0
OBSIDIAN_STATUE	AI_COMP	OBS_STATUE	0	0
MOON_PRIESTESS	AI_COMP	MOON_CHICK	0	0
MOON_PRIESTESS	AI_COMP	MOON_BABE	0	0
MOON_PRIESTESS	AI_COMP	MOON_HONEY	0	0
RED_DRAGON_3	AI_COMP	ORC_DRAGON	0	0
ZEPPELIN	AI_COMP	ZEPPLIN	0	0
