Profile Name	Race	Aggression	Uncertainty	Minimum Attack Strength	Build Farm at left food	first expansion time	second expansion time	strategy persistence	influences number of factories built	Taunt Rate	Expansion Target Bonus	Hard coded AI target bonus	Hard coded AI target rate	Surrender Value	Favorite ELF Hero	Favorite HUMAN Hero	Favorite ORC Hero	Favorite UNDEAD Hero	Favorite Neutral Hero	Favorite ELF Unit	Favorite HUMAN Unit	Favorite ORC Unit	Favorite UNDEAD Unit	Rare Profile
Hunter	RANDOM	-10	10	4	6	-5	10	1000	0.9	1	7	5	0.5	3	MOON_CHICK	ARCHMAGE	FAR_SEER	DEATH_KNIGHT	0	HUNTRESS	GRYPHON	GRUNT	GHOUL	0
Crazy_Rusher	RANDOM	5	5	2	5	4	-8	780	1	1	8	4	0.4	1	WARDEN	ARCHMAGE	FAR_SEER	DEATH_KNIGHT	0	ARCHER	KNIGHT	GRUNT	GHOUL	0
Crusher	RANDOM	-6	7	4	7	7	12	850	0.9	1	12	6	0.6	2	DEMON_HUNTER	MTN_KING	BLADE_MASTER	DEATH_KNIGHT	0	HUNTRESS	KNIGHT	WYVERN	GHOUL	0
Zmasher	RANDOM	-8	8	4	6	7	12	900	0.9	1	5	4	0.4	2	MOON_CHICK	ARCHMAGE	FAR_SEER	LICH	0	HUNTRESS	GRYPHON	GRUNT	CRYPT_FIEND	0
Aggressario	RANDOM	-2	6	3	7	-8	15	800	1	1	12	7	0.3	1	KEEPER	ARCHMAGE	BLADE_MASTER	DEATH_KNIGHT	0	HUNTRESS	RIFLEMAN	GRUNT	GHOUL	0
chick3n	RANDOM	-15	4	6	8	6	16	1000	0.9	1	3	3	0.8	4	WARDEN	MTN_KING	BLADE_MASTER	DEATH_KNIGHT	0	ARCHER	MORTAR	GRUNT	GHOUL	0
CPU	RANDOM	-9	5	4	7	6	18	900	0.9	1	8	6	0.5	0	DEMON_HUNTER	ARCHMAGE	FAR_SEER	DEATH_KNIGHT	0	HUNTRESS	KNIGHT	GRUNT	GHOUL	0
ErRoR	RANDOM	-10	7	5	6	8	13	800	0.9	1	7	7	0.6	3	MOON_CHICK	ARCHMAGE	FAR_SEER	DEATH_KNIGHT	0	HUNTRESS	GRYPHON	CATAPULT	CRYPT_FIEND	0
RomuLus	RANDOM	-11	4	4	5	9	12	1100	1	1	7	3	0.5	2	KEEPER	MTN_KING	FAR_SEER	LICH	0	HUNTRESS	KNIGHT	WYVERN	NECRO	0
ReMus	RANDOM	-11	5	5	5	7	14	1050	1	1	8	4	0.5	2	WARDEN	ARCHMAGE	FAR_SEER	DEATH_KNIGHT	0	DRYAD	RIFLEMAN	TAUREN	CRYPT_FIEND	0
Xerox	RANDOM	-7	9	3	8	9	12	700	0.95	1	12	5	0.6	2	DEMON_HUNTER	ARCHMAGE	BLADE_MASTER	DEATH_KNIGHT	0	HUNTRESS	KNIGHT	GRUNT	CRYPT_FIEND	0
Xenon	RANDOM	-7	8	4	6	-9	12	800	0.9	1	11	6	0.4	2	KEEPER	ARCHMAGE	BLADE_MASTER	DEATH_KNIGHT	0	ARCHER	GRYPHON	GRUNT	GHOUL	0
